review,preprocessed_text,label_manual
"akun strava saya kok gak bisa login ya? pake akun apapun juga login failed, mau buat akun baru juga login failed tolong developer di saya tampilan nya ""gagal masuk : server strava mengalami kesalahan""",akun strava login pake akun login failed akun login failed tolong developer tampil gagal masuk server strava alami salah,0
sudah connect dengan huawei watch tapi tidak ada data nya,connect huawei watch data,0
sangat sangat membantu menentukan waktu,bantu tentu,1
apakah aplikasi ini eror? kenapa tidak bisa di buka sama sekali ?! hemm,aplikasi eror buka hemm,0
"tolong ya kembalikan dana 609k yg di tarik tanpa persetujuan akun saya, 600 uang yg ga dikit, jangan bikin vitur yg merugikan pengguna yaaa, mana ngajuin ga d acc pdhl bau beberapa jam setelah transaksi, toloooong kembalikan uang sayaaaaaaa",tolong kembali dana tarik tuju akun uang dikit bikin vitur rugi guna yaaa ngajuin pdhl transaksi toloooong kembali uang sayaaaaaaa,0
buat semua udh oke cuman kadang ada bug yang bikin map atau rutenya eror jadi berantakan banget,cuman kadang bikin rute eror beranta banget,2
Baik dan membantu tapi jumlah jalan kaki tidak terlihat lagi,bantu jalan kaki,2
untuk awal pemakaian bagus banget bantu banget buat kegiatan olahraga tapi setelah beberapa hari pemakaian apk nya suka error server ini juga sampe log out sendiri trus waktu mau login lagi gak bisa server nya error ntah kenapa gak tau untuk pihak strava developer nya tolong bug ini segera di perbaiki terimakasih.,pakai bagus banget bantu banget giat olahraga pakai aplikasi suka error server sampe trus login server error ntah strava developer tolong baik terimakasih,1
cocok untuk runner,cocok runner,2
knp sy tidak bs masuk aplikasinya ya? dr tadi pagi error terus pdhl sebelumnya lancar-lancar saja,masuk aplikasi pagi error pdhl lancarlancar,1
aplikasi yang menunjang untuk menjaga kesehatan dan bersosial yang sehat 👍👍,aplikasi tunjang jaga sehat sosial sehat,2
aplikasi ngga jelas masa iya udah lari 2km baru ke catet beberapa meter doang kadang bener kadang ngga tolong di perbaiki lah ngga becus banget kalo bikin aplikasi,aplikasi ngga lari catet meter doang kadang bener kadang ngga tolong baik ngga becus banget kalo bikin aplikasi,0
"strava suka error, kenapa yaa? ada yg tau?",strava suka error,2
pencatat lari cukup baik,catat lari,2
apk gajelas!!!!! cape² lari 8km pas nyampe rumah gk ke itung 🤦‍♂️,aplikasi gajelas cape lari nyampe rumah itung,0
"bagi admin starva tolong kembalikan uang sya sebesar 609.390,00tolong di kembalikan sya bituh uang itu anda sebagai admin kalau mau ngambil saldo harusnya ada pemberitahuan dulu ga langsung lu ambil ambil aja lu udah kaya malah ngambil uang bukan hak lo tolong lah kembalikan uang itu gw mau pake buat bayar semester",admin starva tolong kembali uang tolong kembali bituh uang admin ngambil saldo pemberitahuan langsung ambil ambil kaya ngambil uang tolong kembali uang pake bayar semester,0
"Cocok buat lari, Dan sangat akurat",cocok lari akurat,2
"kenapa map saya eror? pace pun jadi eror juga. masa bisa Pace 2. Gimana memperbaiki nya? udah saya log out gak bisa juga, sampai saya uninstall login lagi juga masih eror. TOLONG DIPERBAIKI YAA",eror pace eror pace gimana baik uninstall login eror tolong baik,0
saya ingin membatalkan langganan bagaimana caranya? saya tidak sengaja melakukan langganan tahunan karena langganan gratis telah habis,batal langgan sengaja langgan tahun langgan gratis habis,0
Map dan pace sering bug,pace,1
makasih,makasih,2
"suka ngelag bjirr, kadang juga suka tiba-tiba keluar dari apk",suka ngelag bjirr kadang suka tibatiba aplikasi,0
mantap banget aplikasikan,bagus banget aplikasi,2
woi ini gimana pace malah gaada malah ada kenaikan elev tolong gimana caranya biar ada pace nya,gimana pace gaada naik elev tolong gimana biar pace,0
bagusss,bagusss,2
"saya tidak pernah merasa berlangganan yearly di aplikasi ini, tapi saldo dana saya terpotong dengan nominal Rp. 609.390 tolong di kembalikan uang saya segera 😭😭",langgan yearly aplikasi saldo dana potong nominal tolong kembali uang,0
kenapa sering ga sinkron antara kiloan dan waktunya dan split kecepatannya pun cepat dan suka ga normal terkadang belum jalan masih di tempat keceptannya tetep jalan memang begitu ya?,sinkron kilo split cepat cepat suka normal terkadang jalan keceptannya tetep jalan,2
kerren mantaf sangat bermanfaat jozzz🥰🥰🥰,kerren mantaf manfaat jozzz,2
sangat informatif,informatif,2
"saya suka aplikasi ini, tetapi kenapa beberapa kali hasil waktunya tidak sesuai. saat aplikasi berjalan menunjukkan 3 jam, namun saat selesai aktivitas waktu hanya 1jam 15 menit. kenapa ya? tolong diperbaiki strava",suka aplikasi kali hasil sesuai aplikasi jalan selesai aktivitas menit tolong baik strava,0
Bagaimana cara mengatasi foto aktifitas buram yang sudah di unduh di strava?,atas foto aktifitas buram unduh strava,1
"Aplikasi yg keren, sangat membantu aktivitas Olahraga kita. Byk event juga yg membuat makin semangat.. serta bisa terhubung ke teman teman",aplikasi keren bantu aktivitas olahraga event semangat hubung teman teman,2
suka error....tp tetap tatap bagus...thx strava,suka errortp tatap bagusthx strava,2
burik masa gak bisa masuk aplikasi tolong lah apliaksi apaan kaya begini,burik masuk aplikasi tolong apliaksi kaya,0
"STRAVA is the best untuk catatan apapun olah raga anda, Recommended.",strava best catat olah raga recommended,2
suka banget,suka banget,2
"kadang mapnya loncat, jalur rutenya seperti benang kusut tolong diperbaiki lagi ya. aplikasinya sendiri udah lumayan bagus untuk motivasi orang untuk olahraga",kadang loncat jalur rute benang kusut tolong baik aplikasi lumayan bagus motivasi orang olahraga,1
sangat membantu program latihan,bantu program latih,2
gak bisa daftar,daftar,0
lebih bagus lagi kalo ada hitungan kalori,bagus kalo hitung kalori,2
"gak bisa login, suruh ngulang teruss gak guna bngt dah kocak",login suruh ngulang teruss bngt kocak,0
"Mohon Maaf untuk pihak Developer, saya sudah berulangkali melakukan Login akun tapi kenapa setiap Login akun terjadi masalah Error atau masalah Koneksi Yang terulang terus-menerus, Saya harap pihak developer bisa memperbaiki masalah ini TERIMAKASIH",mohon maaf developer berulangkali login akun login akun error koneksi ulang terusmenerus harap developer baik terimakasih,0
udah download kenapa gabisa login si susah bet,download gabisa login susah,0
mantup,mantup,2
"kepada tim strava yang terhormat, tolong bantu saya untuk mengembalikan dana saya yang secara otomatis tersedot tanpa saya ketahui, saat itu saya langsung melakukan refund jarak dari kejadian hanya selang sekitar 1 jam bahkan saya tidak sempat menggunakan fitur premium sama sekali dan saya langsung membatalkan langganan, dan sampai sekarang dana saya belum di kembalikan, saya sangat membutuhkan dana saya itu, tolong bantu saya agar dana saya bisa kembali, terimakasih",strava hormat tolong bantu kembali dana otomatis sedot tahu langsung refund jarak jadi selang fitur premium langsung batal langgan dana kembali butuh dana tolong bantu dana terimakasih,0
"berguna untuk merekam aktivitas olahraga, biasanya saya jalan kaki atau sepeda. bisa digunakan offline maupun online, dan bisa melihat rekaman aktivitas kita melalui animasi",guna rekam aktivitas olahraga jalan kaki sepeda offline online rekam aktivitas animasi,2
pace dan jarak suka gak sinkron dan sangat buruk,pace jarak suka sinkron buruk,1
"awal awal aplikasi ini berjalan lancar tanpa ada kendala tapi kenapa tiba tiba log out sendiri dan ingin log in kembali malah katanya servernya lagi down,tolong segera diperbaiki entah ini bug atau dari kesalahan stravanya. semoga masalah ini cepat diperbaiki",aplikasi jalan lancar kendala servernya downtolong baik salah stravanya moga cepat baik,2
"strava menurut ku cukup worth it untuk running, cuma satu kendala saya yg dimana saat saya lari bersama teman saya, sering beda 80m bahkan di atas 100m perbedaannya, walaupun kita startnya barengan, saya sudah coba berulang kali, namun hasilnya tetap sama, entah punya saya yg bermasalah atau, aplikasinya error, tolong di perbaiki, karena saya merasa terganggu dengan itu",strava worth running kendala mana lari teman beda beda start bareng coba ulang kali hasil masalah aplikasi error tolong baik ganggu,2
"sedang hiking tiba² gak ada sinyal sulit liat hasil mau disudahi juga gak bisa , alhasil gak jelas hasilnya ...tidak akurat jarak yg ditempuh",hiking sinyal sulit liat hasil sudah alhasil hasil akurat jarak tempuh,1
tolong servernya diperbaiki lagi punya saya gak bisa dipake login terus padahal udah dihapus didownload lagi tapi gitu terus gimana mohon bantuannya,tolong servernya baik dipake login hapus didownload gitu gimana mohon bantu,0
"Saya kasih bintang satu karna aplikasi banyak bug yang merugikan para pengguna strava salah satunya saat saya merekam aktifitas lari saya, tapi tidak ke hitung/tercantum di club strava padahal sebelumnya masuk, jadi effort saya sudah terbuang sia sia, aplikasi buruk rupa dasar kikirr",kasih bintang karna aplikasi rugi guna strava salah satu rekam aktifitas lari hitungtercantum club strava masuk effort buang aplikasi buruk rupa dasar kikirr,0
Mantap....,mantap,2
"intinya, pokok nya bagus banget dah",inti pokok bagus banget,2
"tolong verifikasi pengembalian dana saya karena saya tidak pernah setuju membeli item langganan setahun penuh,saya hanya membeli item langganan perbulan kenapa saldo dana otomatis terkuras,tolong pertanggung jawabannya dan kembalikan dana saya secepatnya",tolong verifikasi kembali dana tuju beli item langgan tahun penuhsaya beli item langgan bulan saldo dana otomatis terkurastolong tanggung jawab kembali dana cepat,0
tolong diperbaiki bugnya masa saya sudah record pas di save malah tidak muncul di aktivitas,tolong baik bugnya record save muncul aktivitas,0
"jangn download , bagusan aplikasi sebelah,, starava gk sebagus dlu",jangn download bagus aplikasi belah starava bagus,0
ini kenapa pace nya gabisa dibagikan??? kenapa yang muncul hanya jarak sama elevasi ajaa??? padahl pengen bikin trend:(,pace gabisa bagi muncul jarak elevasi ajaa padahl bikin trend,1
"tolong ya untuk developer harus adil, masa merek sepatu kesayangan saya tidak ada. hundred",tolong developer adil merek sepatu sayang hundred,0
"tuba"" ngk bisa terbuka",tuba buka,0
download terpaksa karena tugas 💁🏼‍♀️💔menuhin memo tok,download paksa tugas menuhin memo,0
"strava udah 2 kali lho kilometer nya salah...di smartwach cuma 5,5 km di strava kok isa 13km. tolong diperbaiki lagi..setelah update kok malah gini.",strava kali kilometer salahdi smartwach strava tolong baik lagisetelah update,1
baikk,baikk,2
aplikasi nya bagu,aplikasi bagu,2
So far sangat membantu sebagai asisten saat berolahraga. Sangat bermanfaat! mantap,bantu asisten olahraga manfaat bagus,2
"lucu aplikasinya, masa 0,35 km 584 steps kalau 1.01 km 324 steps 😂🤣",lucu aplikasi steps steps,0
"aplikasinya bagus, namun sering terjadi bug error jaringan padahal jaringan lancar untuk tiktokan. bahkan kadang progres lari tidak tersave",aplikasi bagus error jaring jaring lancar tiktokan kadang progres lari tersave,0
"udh capek lari 20 putaran di apk gk kerekam, malah cuma 2km",capek lari putar aplikasi rekam,0
Asisten yg handal,asisten handal,2
kasih 2 dulu njir gagal masuk/login kendala banyak amat,kasih njir gagal masuklogin kendala,0
punya saya strava nya gak bisa di stop jadi nya kalo sepedaan itu jadinya gak kerekam AVG nya mohon di perbaiki,strava stop kalo sepeda rekam mohon baik,1
bermanfaat untuk mengetahui aktivitas yg telah dijalani,manfaat aktivitas jalan,2
Aplikasi Olahraga (Lari) Terbaik.,aplikasi olahraga lari baik,2
ini gimna ga bisa login sebelum nya bisa hadeh,gimna login hadeh,0
tiba tiba mau masuk dan login selalu eror banyak kesalahan server,masuk login eror salah server,0
akhir2 ini kenapa waktu nya error ya lebih cepat dari sebenarnya. Kita udah jalan 30 menit diaplikasi cuma 8 menit,error cepat jalan menit aplikasi menit,0
"kurang bagus 2kali garis mapsnya ntah kemana mana padahal sinyal aman gps aman eh malah sampe malaysia garis lari saya, tolong pacemya diperbaiki masa saya jaln.pace 7",bagus kali garis mapsnya ntah mana sinyal aman aman sampe malaysia garis lari tolong pacemya baik jalnpace,0
"mohon maaf,saya ijin bertanya ini kenapa strava saya dipakai tidak bisa ya,kemarin tiba tiba disuruh login lagi itu kita kira gimna yaa",mohon maafsaya ijin strava pakai yakemarin suruh login gimna,2
Aplikasinya Ok. untuk memantau progress olahraga kita,aplikasi pantau progress olahraga,2
ya minta dilengkapi sama detak jantung..biar strava makin jos banyak peminatnya,lengkap detak jantungbiar strava minat,2
belajar konsisten dgn aplikasi ini emang lebih ok... cuma kadang GPS nya ngawur... tolong perbaiki GPS yg suka ngawur...,ajar konsisten aplikasi emang kadang ngawur tolong baik suka ngawur,2
fiturnya bagus tpi sering banget server down☹️,fiturnya bagus banget server down,2
keluar aplikasinya sendiri. gk bisa login. kesalahan server infonya. tpi gk bisa masuk sampai saat ini.,aplikasi login salah server info masuk,0
"peta dan elevasi tidak langsung muncul, bagusan versi yg lama yang tahun 2022 kebawah",peta elevasi langsung muncul bagus versi bawah,0
"mohon maaf gan uang saya ke ambil otomatis dari aplikasi strava, mohon untuk d refund karena uang itu bukan uang saya melainkan uang temen saya, mohon bantuannya🙏🥺",mohon maaf uang ambil otomatis aplikasi strava mohon refund uang uang uang temen mohon bantu,0
"ngebug,waktu saya memencet tombol rekam itu rekaman saya tidak dicatat padahal saya sudah berlari",ngebugwaktu pencet tombol rekam rekam catat lari,0
ok bgt semuanya. bisa untuk control dan evaluasi latihan diri yg dilakukan,banget control evaluasi latih,2
"saat ingin masuk ke strava tidak bisa,sudah coba ganti masuk lewat email,google dan fb tetap tidak bisa.tolong segera perbaiki🙏",masuk strava bisasudah coba ganti masuk emailgoogle bisatolong baik,0
"ini kenapa setelah di update aplikasinya malah GPS nya sering error,jadi gak mulus lagi yg tadinya sebelum diupdate malah GPS nya rapi,setelah diupdate malah jadi mencang menceng GPS nya,tolong di perbaiki lagi aplikasinya,padahal saya suka sama aplikasi ini dan udah pake dari tahun 2020 🙏🏼",update aplikasi errorjadi mulus diupdate rapisetelah diupdate cang menceng nyatolong baik aplikasinyapadahal suka aplikasi pake,0
harus bngt pake biaya,bngt pake biaya,0
Kurangi bug,kurang,2
udah lama pake ini tapi sekarang error gabisa login pake akun apapun server error. jadi ganti apk adidas running tolong diperbaiki,pake error gabisa login pake akun server error ganti aplikasi adidas running tolong baik,1
"Saya merekam aktivitas saat offline, dan sekarang setelah online muncul status ‘memproses aktivitas’ tapi tidak selesai-selesai. Mohon bantuan untuk memulihkan aktivitas ini.gimana ni min 2 jam ga berhasil,apa lagi ke warteg dulu atau gimana ?",rekam aktivitas offline online muncul status proses aktivitas selesaiselesai mohon bantu pulih aktivitas inigimana admin berhasilapa warteg gimana,1
overall semua bagus cuma berlangganan nya mahal,overall bagus langgan mahal,2
apk ini sbnrnya bagus namun yg g bagusnya tetiba ada pemotongan berlangganan yg nyatane sya g berlangganan,aplikasi sbnrnya bagus bagus tetiba potong langgan nyatane langgan,0
knp ketika saya play hasil lari tidak bisa munculnya harus bayar sedangkan apk temen ku ngga,play hasil lari muncul bayar aplikasi temen ngga,1
min tolong perbaikin aplikasi nya ini kadang ngebug ini aplikasi ini,admin tolong perbaikin aplikasi kadang ngebug aplikasi,0
"kenapa error mulu padahal sebelum update biasa aja, waktu beres update suka tiba-tiba mati sendiri, waktu buka aplikasi malah gak kehitung jarak sama waktunya padahal udah di start",error mulu update beres update suka tibatiba mati buka aplikasi hitung jarak start,0
"kenapa saya tidak bisa login strava, padahal saya udah pernah login dan tiba tiba ke logout lagi, ketika mau login tidak bisa dan muncul, "" gagal masuk : server strava mengalami kesalahan. silahkan hubungi dukungan jika masalah ini berlanjut """,login strava login logout login muncul gagal masuk server strava alami salah silah hubung dukung lanjut,0
kadang bisa rekam lari kadang nggak dasar aplikasi tolol,kadang rekam lari kadang dasar aplikasi tolol,0
mantep,mantep,2
"saya tidak bisak login, baik itu dengan google ataupun email yg katanya kesalahan server. Tapi untuk hari2 sebelumnya apk ini berjalan normal. mohon sesegera mungkin untuk diperbaiki🙏!.",bisak login google email salah server aplikasi jalan normal mohon baik,1
good aplikasi utk olahraga.,good aplikasi olahraga,2
kadang GPS-nya error,kadang gpsnya error,2
tolong kembalikan saldo dana saya sebesar 609.390 terpotong tanpa persetujuan sayaa padahal saya tidak berlangganan bagaimana ini saya tidak terima atas pengambilan dana saya tanpa persetujuan saya!!,tolong kembali saldo dana potong tuju sayaa langgan terima ambil dana tuju,0
tolong kembalikan duit saya di Dana sebesar 609.390 jangan di listing doang banyak kasus yg sama kaya gini ketarik dengan sendiri nya tolong tanggung jawap nya dong kalo ga bisa tanggung jawap tutup aja aplikasi ini!!! sang at merugikan orang lainn!!!,tolong kembali duit dana listing doang kaya tarik tolong tanggung jawap kalo tanggung jawap tutup aplikasi sang rugi orang lainn,0
baik sesuai harapan,sesuai harap,2
"Aplikasi Gioamat, mau lari baru dia bug bug",aplikasi gioamat lari,0
ini gmnh ya kejelasannya dari Apps Strava? saya tidak pernah berlangganan tapi ke potong 609 k? tolong penjelasannya terkait kerugian ini !!!,gmnh jelas apps strava langgan potong tolong jelas kait rugi,0
sangat akurat untuk sekedar aplikasi,akurat aplikasi,2
waktu lari tidak sesuai dan rusak,lari sesuai rusak,0
"jgn pake apk ini klo gamau hasil lari kalian kurang dari prediksi, mending beli jam running aja sekalian, update trs gada perubahan, Saya udh ngalamin sndiri soalnya, akurat nya cmn pas lari di stadion doang",pake aplikasi gamau hasil lari prediksi mending beli running update gada ubah ngalamin sndiri akurat lari stadion doang,0
best banget dah ni aplikasi👍💪,best banget aplikasi,2
"aplikasi aneh.. sering keluar sendiri dan kalau mau login lagi sangat sulit. kesalahan server terus, sangat tidak mengenakkan.",aplikasi aneh login sulit salah server enak,0
susah masuk aplikasi,susah masuk aplikasi,0
snagat bermamfaat untuk menentukan target bersepeda,snagat bermamfaat tentu target sepeda,2
anjir lah kebeli paket 1 tahun mana gak biss pengembalian dana lagi 🤮,anjir kebel paket biss kembali dana,0
"sangat tidak di rekomendasikan, kebanyakan bug dan eror, padahal dulu pernah download strava baik"" aja, ganiat bikin aplikasi hapus aja",rekomendasi banyak eror download strava ganiat bikin aplikasi hapus,0
aplikasi ini sangat bagus untuk aku latihan lari setiap taekwondo,aplikasi bagus latih lari taekwondo,2
bikin olah raga tambah semangat,bikin olah raga semangat,2
duit saya ke ambil sama google gara gara tidak sengaja berlangganan di apk ini itu pun ngambil duit nya langsung tampa persetujuan saya dana saya rugi 609.390 ribu,duit ambil google gara gara sengaja langgan aplikasi ngambil duit langsung tampa tuju dana rugi ribu,0
Membantu dan memotivasi saya untuk berlari,bantu motivasi lari,2
minta tolong untuk apikasi Dafit android dapat upload hasil dari smartwacth ke strava.,tolong apikasi dafit android upload hasil smartwacth strava,0
Aplikasinya bagus. Terus ditingkatkan lagi.,aplikasi bagus tingkat,2
fiturnya bagus dan lengkap,fiturnya bagus lengkap,2
sangat membantu untuk mengetahui dan menjaga kebugaran.,bantu jaga bugar,2
"Strava ini aplikasi yang luar biasa membuat kita semakin semangat dalam kegiatan olahraga seperti lari, sepeda maupun yang lainnya, saya cukup sering menggunakan aplikasi ini ketika mau olahraga, namun ada saja kendalanya kadang ketika saya lari atau goes kadang eror atau tidak terdektesi perjalannanya entahlah mengapa, ini ga satu kali, dua kali bahkan cukup sering, saya harap di perbaiki lagi atas masalah ini, semuanya sudah cukup bagus, itu saja permasahan dari saya selama saya menggunakannya",strava aplikasi semangat giat olahraga lari sepeda aplikasi olahraga kendala kadang lari goes kadang eror terdektesi perjalannanya kali kali harap baik bagus permasahan guna,2
bgus untuk lari,bgus lari,2
"apk gak jelas, jarak gak akurasi",aplikasi jarak akurasi,0
sehat,sehat,2
"apk aneh pas di unduh fto transparan nya tiba tiba layar nya hitam udh di coba brp kali hapus download gitu aja trs,sengaja ngasih bintang 5 biar ulasan nya di awal",aplikasi aneh unduh transparan layar hitam coba kali hapus download gitu trssengaja ngasih bintang biar ulas,2
akurasi tepat,akurasi,2
"Setelah lama pakai aplikasi ini, baru kali ini sering ilang GPS ( No GPS). Padahal sinyal stabil. Tolong dong diperbaiki.",pakai aplikasi kali ilang sinyal stabil tolong baik,1
"pertama kali menggunakan aplikasi ini berjalan baik, namun akhir2 ini terdapat loading menu yg begitu lama ketika sy masuk ke aplikasi.",kali aplikasi jalan loading menu masuk aplikasi,1
saldo saya tiba-tiba membayar tagihan padahal saya tidak melakukannya saya harap saldo saya bisa di kembalikan uang tersebut untuk saya sekolah mohon bantuannya 🙏,saldo tibatiba bayar tagih laku harap saldo kembali uang sekolah mohon bantu,0
Sangat membantu mengevaluasi jarak dan kecepatan saat latihan,bantu evaluasi jarak cepat latih,2
lebih mantap lagi kalau gratis,bagus gratis,2
Kalo bukan di hape kentang/ T'lah lama kau ku-download/ Kalo bukan karena kawan/ Mana mungkin mo lari sendirian/,kalo hape kentang tlah kudownload kalo kawan lari,2
kok punya saya gk bisa di download ya rute larinya,download rute lari,1
ke pake bgt,pake banget,2
"minta tolong kejelasannya dong ,saldo saya di dana tiba tiba kepotong Rp.609.390,padahal saya tidak pernah berlangganan di aplikasi ini dan mohon kembalikan uang saya yang terpotong otomatis,karna tiba tiba tidak ada pemberitahuan kepada saya dan saya tidak merasa berlangganan . Sekali lagi mohon bantuannya di kembalikan karena saya butuh uang ini untuk keperluan lain.",tolong jelas saldo dana potong rppadahal langgan aplikasi mohon kembali uang potong otomatiskarna pemberitahuan langgan mohon bantu kembali butuh uang perlu,0
pemeliharaan semoga dipercepat .,pelihara moga cepat,2
Aplikasi terbagus untuk Mengukur Statistik lari Kita,aplikasi bagus ukur statistik lari,2
"kok gps nya eror pace nya juga tidak stabil,saya pakai pace 7 malah naik pace 4 kan aneh😡",eror pace stabilsaya pakai pace pace aneh,1
sangat membantu,bantu,2
aplikasi nya baguss dan pengitunganya juga akuratt,aplikasi baguss pengitunganya akuratt,2
"awal make gk ada masalah, setelah bbrpa hari pke tiba"" error gk bisa login ke akun, tlg perbaiki/ ksh arahan ke saya,biar sy lebih enjoy pakai strava ini🙏",make bbrpa error login akun baik arah sayabiar enjoy pakai strava,2
skrg strava jadi banyak bug nya,skrg strava,0
sangat bermanfaat (mmk),manfaat,2
"mantap, sangat menyemangati",mantap semangat,2
maps tidak merespon sesuai jalur..sangat tidak efektif,maps merespon sesuai jalursangat efektif,0
"tolong GPS-nya di akuratin soalnya udh 2 bulan GPS-nya erorr Mulu, dengan pacenya GK Akurat sama jarak yg tdk betul",tolong gpsnya akuratin gpsnya erorr mulu pace akurat jarak,0
"ngga akurat sama sekali ni apk, mending pake yang lain",ngga akurat mending pake,1
strava tolong tambahkan aolon pada aplikasi,strava tolong tambah aolon aplikasi,2
"cara membatalkan langganan susah bgt siii,, perbaiki aplikasi nya",batal langgan susah banget siii baik aplikasi,0
"ini knp strava sekarang lebih sering mati woii, ini gmn ceritanya padahal udah mulai ngerekam kenapa malah ngereset trs mati sendiri padahal dulu nggak kayak gini tolong developer di perbaiki lagi ini!! mohon tanggapannya dari pihak developer jika masih terus""an seperti ini saya akan laporkan masalah ini ke pihak play store",strava mati woii cerita ngerekam ngereset mati kayak tolong developer baik mohon tanggap developer terus lapor play store,0
ko perangkat saya tidak bisa login ya,perangkat login,0
saya baru coba aplikasi strava sering terjadi salah dalam penghitungan langkah yang eror. jadi saya uninstal & dari pihak strava tdk ada perbaikan,coba aplikasi strava salah hitung langkah eror uninstal strava baik,1
kok gk bisa login padahal udh bikin akun🙏,login bikin akun,0
"Tolong teknisi strava, saya udah capek-capek gowes kadang rute tidak terekam, seluruh opsi latar belakang sudah di aktifkan agar memperlancar perekaman rute saat bersepeda. tetapi, masih di temukan rute yang tidak terekam, dan ini terjadi tidak 100 atau 300 meter. tetapi, beberapa kilometer 🥲.",tolong teknisi strava capekcapek gowes kadang rute rekam opsi latar aktif lancar rekam rute sepeda temu rute rekam meter kilometer,2
min ini knp ya kok aku mau daftar ngk bisa,admin daftar,1
aplikasi gendeng daftar menggunakan wifi tidak bisa melihat aktivitas dengan wifi tidak bisa.,aplikasi gendeng daftar wifi aktivitas wifi,0
keren aplikasinya sangat sangat membantu,bagus aplikasi bantu,2
Makasih dikasih strava premium nya,makasih kasih strava premium,2
"Tolong dong utk overlay share aktivitas yg baru balikkin ke model yg lama aja, yg baru jelek dah gitu bikin foto jadi peang gak simetris ketika di share. Tolong bgt. tks.",tolong overlay share aktivitas balikkin model jelek gitu bikin foto peang simetris share tolong,1
"ini knp ya?, bug atau eror ga tau sih semenjak update, pas running 5menit masih betul tiba2 pas menit ke7 jaraknya jadi 300km kan ga mungkin manusia normal 7menit 300km",eror semenjak update running menit menit jarak manusia normal menit,1
bagus & akurat,bagus akurat,2
apk sering bgt eror gbs nyimpen hasil,aplikasi banget eror nyimpen hasil,2
knp pace nya tidak sesuai. saya sudah berjalan sejauh 7km dgn harapa pace 14. kok yg kecatat pace 9 ya?? aneh banget. baru developer ga pernah FIX bugnya ANEH,pace sesuai jalan harapa pace catat pace aneh banget developer bugnya aneh,0
"bagaimana cara mengembalikan refund dana uang yang tidak paham dan gak sadar klo ada opsi langganan strava selama setaun? padahal sebelumnya hanya ingin percobaan langganan sebulan, tolong dong gimana ini? 🙏🏻🥺",kembali refund dana uang paham sadar opsi langgan strava taun coba langgan bulan tolong gimana,0
"2 hari ini aku pake apk ini agak ada kendala sih, masa berjalan gada stepnya, udh diotak atik ga muncul jg step/langkahnya. dahal sebelumnya masih ada, tolong dongg ada yg tau ga ini knp??",pake aplikasi kendala jalan gada step otak atik muncul steplangkahnya dahal tolong dongg,1
kereen..mencatat kegiatan olga secara detail,kereenmencatat giat olga detail,2
Ini ibarat...konten kreator dari olahraga yang fomo. tapi seru sih...dan insyaAllah sehat. didukung aplikasi ketjeh ini 🚶,ibaratkonten kreator olahraga fomo seru sihdan insyaallah sehat dukung aplikasi ketjeh,2
sorry bagian backend nya error yah saya mau masuk lewat google gabisa,sorry backend error masuk google gabisa,2
"Kepotong otomatis Pembayaran nya, apa ini gabisa pengembalian dana?",potong otomatis bayar gabisa kembali dana,0
gabisa dibuka kadang kadang trus pas record berhenti sendiri,gabisa buka kadang kadang trus record henti,0
jadi semangat olahraga,semangat olahraga,2
"aplikasi yg maen ambil uang d dana .maen sedot sedot aja .kembalikan uang itu ,uang hasil ngambil tanpa persetujuan itu haram",aplikasi maen ambil uang dana maen sedot sedot kembali uang uang hasil ngambil tuju haram,0
tampilan share strava yg terbaru sangat tdk bagus...tdk estetik...membuat org2 akan berpindah aplikasi...,tampil share strava baru bagustdk estetikmembuat pindah aplikasi,0
aplikasi penyemangat..mantap,aplikasi penyemangatmantap,2
"Saya ada usulan, bagaimana kalo setiap mecahkan record sendiri, di Beri Hadiah Misalnya Koin untuk membeli sticker di Strava atau apalah itu",usul kalo mecahkan record hadiah koin beli sticker strava,2
"mantap, minusnya jam tanganku belum di support. mi Smart Band 4 :')",mantap minus tangan support smart band,2
kok ga bisa login ya gara gara server nya,login gara gara server,0
membantu bangetttt buat aktivitas olahraga,bantu bangetttt aktivitas olahraga,2
tiaak bisa daftar,tiaak daftar,0
Bug pas login minn... tolong untuk kedepannya jangan bug pas log in pakai akun google & facebook pun gak bisa... tolong segera diperbaiki lagi 🙏🏻🙏🏻,login minn tolong depan pakai akun google facebook tolong baik,0
"fitur-fitur nya udah mantap, cuma masih banyak buggggggggg padahal gw gak lari ke situ tapi maps nya nyasar ke situ, sama pace dan kilometer nya kadang suka kagak bener, itu aja sii moga kedepan nya di perbaiki lagi👍",fiturfitur mantap buggggggggg lari situ maps nyasar situ pace kilometer kadang suka kagak bener moga depan baik,2
mudah di gunakan,mudah,2
sangat bagus untuk berolahraga lari,bagus olahraga lari,2
Mohon tambahkan bahasa indonesia di aplikasi strava. tks. 🙏🏽🙏🏽,mohon tambah bahasa indonesia aplikasi strava,2
"woy, bikin fitur ganti bahasa diaplikasi soalnya neng wina pengen ganti bahasa 😡😡",bikin fitur ganti bahasa aplikasi neng wina ganti bahasa,0
"sangat membantu, tp sayang berbayar",bantu sayang bayar,2
"strava ada gangguan server kah ? tidak bisa digunakan, seandainya bisa digunakan kadang² langsung terputus sinyalnya / error",strava ganggu server anda kadang langsung putus sinyal error,1
gw kasih bintang 1karena tiba tiba udah dari dana saya abis kebayar apk ini dengan otomatis langsng terbayar sebesar 609rb,kasih bintang dana abis bayar aplikasi otomatis langsng bayar,0
