review,preprocessed_text,score,label_manual
tolong kembalikan dana saya, tiba tiba ketarik otomatis di akun DANA saya senilai 609.390 IDR   itu sepertinya tidak sengaja kepencet fitur langganan nya  saya mohon kembalikan uang saya  saya sangat membutuhkannya karena itu uang yang dititipkan keDANA saya  sekali lagi saya memohonðŸ™ tolong kembali dana tarik otomatis akun dana nila sengaja pencet fitur langgan mohon kembali uang membutuhkannyakarena uang titip dana mohon,5,negatif
saya sudah menggunakan aplikasi ini lumayan lama tapi tiba tiba log out dengan sendirinya lalu saat ingin log in kembali terjadi eror kesalahan server, tolong ini sangat mengganggu aktivitas lari saya dan semoga segera diperbaiki aplikasi lumayan error salah server tolong ganggu aktivitas lari moga baik benar-benar,5,negatif
tolong kembalikan uang saya sebesar Rp609390 saya merasa di rugi kan dan tidak pernah berlangganan apk ini !!! hatiÂ² bagi yang mau download lebih baik cari apk lain ini pencurian berkedok aplikasi !!!,tolong kembali uang rugi langgan aplikasi hati download cari aplikasi curi kedok aplikasi,1,negatif
baik dalam memonitor jalan sehat,monitor jalan sehat,5,positif
Tolong dong admin, antah memang aplikasinya narik langganan otomatis atau anak saya pencet pencet hp hingga salah pencet langganan  dan terbayar 609.390  tolong bantukan saya tentang pengembalian dana saya ini karna saya tidakenggunakam aplikasi ini  saya cuma pekerja biasa uang sejumlah itu sangat berarti bagi saya ðŸ™ðŸ™ðŸ™ tolong adminantah aplikasi narik langgan otomatis anak pencet pencet salah pencet langganandan bayar tolong bantu kembali dana inikarna tidakenggunakam aplikasi inisaya kerja biasauang,1,netral
aplikasi yang sangat bermanfaat dan mendukung aktivitas olahraga,aplikasi manfaat dukung aktivitas olahraga,5,positif
Kurangi bug,kurang,5,netral
aplikasi selama ini lemot,dulu gak lemot gini aplikasi lemotdulu,1,negatif
aplikasi tidak dapat di pake,aplikasi pake,1,negatif
aplikasi keren bisa bantu buat olahraga,aplikasi bagus bantu olahraga,4,positif
bagussss,bagussss,5,positif
saya tidak merasa melakukan melakukan pembayaran tiba tiba membayar sendiri senilai 600.000 ribu mohon bantuanya,Bayar bayar nila ribu mohon bantuanya,1,negatif
Saya tidak sengaja berlangganan di aplikasi ini tapi dana saya tidak dikembalikan,saya sangat kecewa sengaja langgan aplikasi dana dikembalikansaya kecewa,1,negatif
aplikasi tidak berguna. saya sdh berlangganan 1 th tp tidak bisa digunakan. sudah gitu dana tidak bisa dikembalikan juga.,aplikasi guna langgan gitu dana kembali,1,negatif
tolong kembalikan dana saya, saya sangat butuh dana tersebut buat biaya sekolah saya  sebesar 609.390 segera  karna saya sangat butuh tolong kembali dana butuh dana biaya sekolah karna butuh,1,negatif
membantu saya banget buat kesehatan diri pribadi,bantu banget sehat pribadi,5,positif
akun Gmail saya sudah tidak aktif saya kebingungan merubah ke Gmail yang baru karena tidak mendapatkan kode otp untuk merubah Gmail yang baru . saya berharap ada alternatif/fitur terbaru yang bisa menyelesaikan masalah itu.,akun gmail aktif bingung rubah gmail kode rubah gmail harap alternatiffitur baru selesai,4,netral
bagus sih tapi berbayar dan mahal,bagus bayar mahal,5,netral
Relevan menjawab kebutuhan dna tentunya akurat,relevan butuh akurat,5,positif
the best lah...buat mantau progress latihan...suka ngingetin juga kalo lg khilaf lama gak gerak..heheee,best lahbuat mantau progress latihansuka ngingetin kalo khilaf gerakheheee,5,positif
sangat membantu aktivitas olahraga saya,bantu aktivitas olahraga,5,positif
saya tidak bisa daftar aplikasi ne bosok padahal besok mau lari pie iki seng nggawe pkok,daftar aplikasi bosok besok lari seng nggawe pkok,1,negatif
gimana caranya biar titik koordinat nya ga eror? ada yg tauu,gimana biar titik koordinat eror tauu,1,netral
gatau knapa 3x download bermasalah trus ga .daftar berkali2 tpi tetep ada masalah coba lagi tapi ya tetep sama . kemaren sore udah loh in bisa pagi mau di pakek ga bisa lgi .entah lah capek,gatau knapa download masalah trus daftar kali tetep coba tetep kemaren sore pagi pakek capek,2,negatif
selamat malam mohon di bantu kebijakan dalam fitur nya, saya tidak merasa berlangganan  tapi kenapa uang saya di tarik otomatis dari dana saya selamat malam mohon bantu bijak fitur langgan uang tarik otomatis dana,3,negatif
kenapa sya tidakk bisa masuk di akun strava ada kesalahan Mulu,tidakk masuk akun strava salah mulu,1,negatif
aplikasi the best,aplikasi best,5,positif
kadang error di pengambilan jarak saat olahraga, but of all roll bagussðŸ‘ðŸ‘ kadang error ambil jarak olahraga roll baguss,4,netral
sangat membantu saya saat berlari,bantu lari,5,positif
bagus, tapi tolong apabila result lari kita kehapus bisa direcovery bagus tolong result lari hapus direcovery,4,netral
aplikasi yg hanya menguntungkan pengguna iPhone,pengguna android suka ngelag gps nya  zig-zag dan tidak akurat aplikasi untung guna iphonepengguna android suka ngelag zigzag akurat,2,negatif
lari makin kenceng,Lari kenceng,5,netral
aplikasi starva ini sangat membantu saya berolahraga ðŸ‘ðŸ¼ðŸ‘ðŸ¼,aplikasi starva bantu olahraga,5,positif
sangat bermanfaat untuk kegiatan olahraga,manfaat giat olahraga,5,positif
dinda bisa pace 2.45,dinda pace,5,positif
tolong kembalikan saldo saya 609,000k saya tidak pernah berlangganan di aplikasi strava tiba tiba bangun pagi saldo saya ke potong malah saldo buat bayar semester lagi yang ke potong tong strava di kembalikan saldo saya tolong kembali saldo langgan aplikasi strava bangun pagi saldo potong saldo bayar semester potong tong strava kembali saldo,1,negatif
bagus sih tapi berbayar dan mahal,bagus bayar mahal,5,netral
Baguss, UX nya enak. Bisa connect ke banyak smart watch  ada banyak komunitas  challenge  dan trophy  jdi kita lebih semangat karena banyak temannya.. baguss enak connect smart watch komunitas challenge trophy semangat teman,5,positif
Aplikasi Bagus, Cocok untuk Bersepeda ðŸ‘Œ aplikasi bagus cocok sepeda,5,positif
data lumayan akurat,data lumayan akurat,4,positif
