review,preprocessed_text,score
Tolong kembalikan dana saya sebesar Rp.609.390 saya tidak pernah berlangganan dan tidak mengaktifkan untuk berlangganan. tiba tiba dapatkan notifikasi dana saya terpotong sebesar Rp.609.390. Saya sudah buat pengajuan tolong dikembalikan dan dipercepat untuk penyelesaian masalah ini,tolong kembali dana langgan aktif langgan dapat notifikasi dana potong tolong kembali cepat selesai,1
"tolong strava , saya udh lari tapi hasilnya malah tidak ter save , awalnya ada bacaan ""memproses aktivitas"" , namun setelah saya tinggal tidur malah hilang dan hasil lari saya tidak ter save",tolong strava lari hasil save baca proses aktivitas tinggal tidur hilang hasil lari save,2
tolong kembalikan dana saya sebesar 609.390 saya tidak merasa berlangganan uang saya ke potong otomatis,tolong kembali dana langgan uang potong otomatis,1
tolong kembalikan uang saya sebesar Rp609.390 karna saya merasa tidak berlangganan,tolong kembali uang karna langgan,1
"tolong dana saya terkuras padahal saya tidak pernah mesen strava 1 tahun, dan saldo saya terkuras sebesar 600 dan tidak dapat dikembalikan lagi, tolong sistem nya",tolong dana kuras mesen strava saldo kuras kembali tolong sistem,1
sangat berguna,guna,5
tolong kembalikan uang saya sebesar Rp609390 saya merasa di rugi kan dan tidak pernah berlangganan apk ini !!! hati² bagi yang mau download lebih baik cari apk lain ini pencurian berkedok aplikasi !!!,tolong kembali uang rugi langgan aplikasi hati download cari aplikasi curi kedok aplikasi,1
"sedang hiking tiba² gak ada sinyal sulit liat hasil mau disudahi juga gak bisa , alhasil gak jelas hasilnya ...tidak akurat jarak yg ditempuh",hiking sinyal sulit liat hasil sudah alhasil hasil akurat jarak tempuh,3
"mohon maaf gan uang saya ke ambil otomatis dari aplikasi strava, mohon untuk d refund karena uang itu bukan uang saya melainkan uang temen saya, mohon bantuannya🙏🥺",mohon maaf uang ambil otomatis aplikasi strava mohon refund uang uang uang temen mohon bantu,2
"daritadi nungguin memproses aktivitas, udh berjam jam. apakah ga jelas bgt",daritadi nungguin proses aktivitas banget,1
"peta dan elevasi tidak langsung muncul, bagusan versi yg lama yang tahun 2022 kebawah",peta elevasi langsung muncul bagus versi bawah,2
"saya tidak bisak login, baik itu dengan google ataupun email yg katanya kesalahan server. Tapi untuk hari2 sebelumnya apk ini berjalan normal. mohon sesegera mungkin untuk diperbaiki🙏!.",bisak login google email salah server aplikasi jalan normal mohon baik,3
"strava saya error Mulu, tolong perbaiki min🙏",strava error mulu tolong baik,1
"strava menurut ku cukup worth it untuk running, cuma satu kendala saya yg dimana saat saya lari bersama teman saya, sering beda 80m bahkan di atas 100m perbedaannya, walaupun kita startnya barengan, saya sudah coba berulang kali, namun hasilnya tetap sama, entah punya saya yg bermasalah atau, aplikasinya error, tolong di perbaiki, karena saya merasa terganggu dengan itu",strava worth running kendala mana lari teman beda beda start bareng coba ulang kali hasil masalah aplikasi error tolong baik ganggu,4
tolong kembalikan uang saya 609.390 yang telah anda ambil dari aplikasi gopaysaya.saya tidak pernah menginstal aplikasi strava apalagi berlangganan.jadi tolong kembalikan uang saya secepatnya.jangan menjadi yg merugikan masyarakat.strava aplikasi pencuri.,tolong kembali uang ambil aplikasi gopaysayasaya menginstal aplikasi strava berlanggananjadi tolong kembali uang secepatnyajangan rugi masyarakatstrava aplikasi curi,1
sangat akurat untuk sekedar aplikasi,akurat aplikasi,5
gaaa kerekam semua,gaaa rekam,1
"sudah di upgrade sudah di play, gps on, tiba tiba pause sendiri tidak terekam sama sekali, damnnnnn!!!!!!",upgrade play pause rekam damnnnnn,1
"mohon maaf saya tidak tau kalau saya berlangganan,tapi kenapa uang saya di tarik otomatis dari dana saya mohon di pulangkan",mohon maaf berlangganantapi uang tarik otomatis dana mohon pulang,5
tolong kembalikan duit saya di Dana sebesar 609.390 jangan di listing doang banyak kasus yg sama kaya gini ketarik dengan sendiri nya tolong tanggung jawap nya dong kalo ga bisa tanggung jawap tutup aja aplikasi ini!!! sang at merugikan orang lainn!!!,tolong kembali duit dana listing doang kaya tarik tolong tanggung jawap kalo tanggung jawap tutup aplikasi sang rugi orang lainn,1
"apk tiba² gaa bisa dibuka, pas coba di uninstall terus install lagi tetep ga bisa dibuka,",aplikasi buka coba uninstall install tetep buka,3
Jadi konsisten lari,konsisten lari,5
"harusnya daftar akun tidak perlu dipersulit. selalu saja ""silahkan gunakan email yang valid"" padahal udah valid. seharusnya tidak perlu ada batasan harus pakai domain apa selagi bisa terima OTP ya tidak masalah.",daftar akun sulit silah email valid valid batas pakai domain selagi terima,2
woi kenapa strava saya eror kenapa ini,strava eror,1
"strava yg sekrng kok beda yaa sama yg th lalu. dengan rute yg sama dg th lalu tp kok hasil jaraknya bedaa yaa dengan th ini dan selisihnya juga cukup banyak. yg ditahun lalu dengan rute yg sama itu sekita 6km sekarang jadi 6,8km 🙏",strava sekrng beda rute hasil jarak bedaa selisih tahun rute kita,3
"kadang bingnung kalau ga kesimpen , kenapa langsung ke fitur yang berbayar...",kadang bingnung kesimpen langsung fitur bayar,3
mantap data akurat,bagus data akurat,5
"tolong kembalikan dana saya sebsar 609ribu saya tidak mengetahui, ini sama aja mencuri uang org lain tanpa persetujuan org lain",tolong kembali dana sebsar ribu curi uang tuju,1
saya tidak pernah approve berlangganan 1 tahun kenapa saldo ducabut berlangganan 1 tahun. kembalikan uang saya.,approve langgan saldo ducabut langgan kembali uang,1
"saya sudah tidak memakai strava tetapi aplikasi menyedot dari dana tanpa persetujuan saya ini bagaimana ya admin tolong dong tiba tiba 609.000 ribu hilang, saya mibta di refund",pakai strava aplikasi sedot dana tuju admin tolong ribu hilang mibta refund,1
sudah stop tapi tagihan langganan muncul tarus 🤦🤦 bagaimana cara stopnya ?,stop tagih langgan muncul tarus stop,1
"tolong ya kembalikan dana 609k yg di tarik tanpa persetujuan akun saya, 600 uang yg ga dikit, jangan bikin vitur yg merugikan pengguna yaaa, mana ngajuin ga d acc pdhl bau beberapa jam setelah transaksi, toloooong kembalikan uang sayaaaaaaa",tolong kembali dana tarik tuju akun uang dikit bikin vitur rugi guna yaaa ngajuin pdhl transaksi toloooong kembali uang sayaaaaaaa,1
"Tolong kembalilan uang saya 609 rb, saya tidak pernah merasa melakukan pembayaran tersebut",tolong kembalilan uang bayar,1
"Saya tidak membeli apl ini, tiba2 saldo saya di shopee lenyap 600.000. Saya ajukan pengembalian dana tapi pihal google one menolak dgn alasan kebijakan. Jujur saya sangat amat kecewa karna saya jarang banget menggunakan apl ini. Setelah berlangganan aktif, ternyata aplikasinya sama aja spt strava yg gak berlangganan. Sumpah rugi banget rasanya. Google one, saya sangat kecewa dgn peraturan ini, sangat merugikan.!!!",beli saldo shopee lenyap kembali dana pihal google tolak alas bijak jujur kecewa karna jarang banget langgan aktif aplikasi strava langgan sumpah rugi banget google kecewa atur rugi,1
kecewa kenapa pacenya di tidak adakann?,kecewa pace adakann,1
gk paham aplikasinya 🤣🤣🤣,paham aplikasi,1
"tolong dong benarin sistem nya , susah bgt buat login doang sengaja kasih bintang lima biar bisa kebaca",tolong benarin sistem susah banget login doang sengaja kasih bintang biar baca,5
sudah connect dengan huawei watch tapi tidak ada data nya,connect huawei watch data,1
"coba berikan tanggapan ke komentar ini jika dana 609.000 bisa di refund kembali, soalnya saya butuh uang itu buat bulanan",coba tanggap komentar dana refund butuh uang bulan,1
Tolong kembalikan dana saya sebesar Rp.609.390 saya tidak pernah berlangganan dan tidak mengaktifkan untuk berlangganan. tiba tiba dapatkan notifikasi dana saya terpotong sebesar Rp.609.390. Saya sudah buat pengajuan tolong dikembalikan dan dipercepat untuk penyelesaian masalah ini. JANGAN JADI APLIKASI SCAM!I,tolong kembali dana langgan aktif langgan dapat notifikasi dana potong tolong kembali cepat selesai aplikasi scami,1
"saat ingin masuk ke strava tidak bisa,sudah coba ganti masuk lewat email,google dan fb tetap tidak bisa.tolong segera perbaiki🙏",masuk strava bisasudah coba ganti masuk emailgoogle bisatolong baik,1
apk nya bagus banget kalian wajib download sih rugi GK download,aplikasi bagus banget wajib download rugi download,5
"Kemarin saldo seabank saya tiba-tiba kesedot dari strava sejumlah Rp. 609.390. Padahal saya tidak ada berlanggana yang satu tahun. Saya sangat merasa kaget, tidak menyangka, dan merasa sangat rugi. Uang itu sangat saya butuhkan untuk biaya pendidikan. Saya harap saldo seabank saya segera dikembalikan. Karena saya tidak rela jika saldo itu ditarik oleh pihak strava",kemarin saldo seabank tibatiba sedot strava berlanggana kaget sangka rugi uang butuh biaya didik harap saldo seabank kembali rela saldo tarik strava,1
"lumayan untuk pemula.. tidak ada iklan, mudah digunakan..",lumayan mula iklan mudah,4
tolong kembalikan saldo dana saya sebesar 609.390 terpotong tanpa persetujuan sayaa padahal saya tidak berlangganan bagaimana ini saya tidak terima atas pengambilan dana saya tanpa persetujuan saya!!,tolong kembali saldo dana potong tuju sayaa langgan terima ambil dana tuju,1
sering forced closed di handphone redmi 10C sudah diinstal ulang dan hapus data tetap tidak berefek. gimana penyelesaiannya ya ??,forced closed handphone redmi diinstal ulang hapus data efek gimana selesai,3
ko perangkat saya tidak bisa login ya,perangkat login,1
"Tolong untuk admin strava kembalikan dana saya senilai Rp609.390,00 dikarenakan saya merasa tidak berlangganan akses premium di aplikasi strava.",tolong admin strava kembali dana nila langgan akses premium aplikasi strava,1
Sangat membantu dan memuaskan sekali dalam merekam aktifitas berolah raga dengan menggunanakan Strava ini. terima kasih Strava,bantu muas rekam aktifitas olah raga menggunanakan strava terima kasih strava,5
gua udah ga pake apk nya tiba tiba nyedot dana 600k udah minta refund dana malah ga bisa mana duit bukan makan gausah di download guys gua udah minta pengembalian dana udah 3 hari belum juga di kembaliin,pake aplikasi nyedot dana refund dana duit makan gausah download guys kembali dana kembaliin,1
saya senang dengan strava,senang strava,5
"ini knp ga bisa log in ya? error mulu, tolong servernya diperbaiki",error mulu tolong servernya baik,4
"Tolong di perbaiki keakuratan Pace dan jaraknya, sangat tidak akuratt bintang satu",tolong baik akurat pace jarak akuratt bintang,1
uang saya tiba² ke sedot 609000 padahal GK ada Langgangan toh bisa2 ya kesedot tolong la di kembalikan,uang sedot langgang sedot tolong kembali,2
"kenapa setiap mau lari g pernah je record trs pacenya mentok di 15 aja padahal awal² download mah lancar bisa pace 4-3, tapi pas akhir² ini malah ngebug kadang jaraknya g ke record sama sekali",lari record pace mentok download lancar pace ngebug kadang jarak record,2
saya kok tidak bisa masuk ke strava padahal sebelumnya bisa,masuk strava,3
"aplikasinya bagus, tapi sering eror gak tepat GPSnya kacau. Udah lari 5Km kebaca malah 2km 😂 memalukan. tolong perbaiki lagi dong. biar gak malu-maluin pas di posting 🙏",aplikasi bagus eror gpsnya kacau lari baca malu tolong baik biar malumaluin posting,3
saya tidak sengaja membeli item dan berlangganan di aplikasi tersebut mohon dana saya di kembalikan sebesar 609.390 saya sangat butuhh mohon uang saya dikembalikan.,sengaja beli item langgan aplikasi mohon dana kembali butuhh mohon uang kembali,1
"Tolong kembalikan uang saya 609 Rb saya tidak berminat berlangganan untuk setahun, ini otomatis potong dari DANA tanpa persetujuan dahulu . tolong kembalikan jangan jadi aplikasi SCAM!!!!!",tolong kembali uang minat langgan tahun otomatis potong dana tuju tolong kembali aplikasi scam,1
"app ini kalo di hp ngawur, jarak 5 km jadi 11 km, mana Pace nya Pace 2 kocak bat, Lo kira gw cheetah bisa lari sekencang itu",kalo ngawur jarak pace pace kocak cheetah lari kencang,1
"Tolong dong admin,,antah memang aplikasinya narik langganan otomatis atau anak saya pencet pencet hp hingga salah pencet langganan,,dan terbayar 609.390,,tolong bantukan saya tentang pengembalian dana saya ini,karna saya tidakenggunakam aplikasi ini,,saya cuma pekerja biasa,uang sejumlah itu sangat berarti bagi saya 🙏🙏🙏",tolong adminantah aplikasi narik langgan otomatis anak pencet pencet salah pencet langganandan bayar tolong bantu kembali dana inikarna tidakenggunakam aplikasi inisaya kerja biasauang,1
"apk aneh pas di unduh fto transparan nya tiba tiba layar nya hitam udh di coba brp kali hapus download gitu aja trs,sengaja ngasih bintang 5 biar ulasan nya di awal",aplikasi aneh unduh transparan layar hitam coba kali hapus download gitu trssengaja ngasih bintang biar ulas,5
"saya sejak dahulu user strava, tidak ada kendala apapun selama menggunakan strava ini, tapi ketika update aplikasi di tahun 2025, strava makin tidak akurat, tidak pernah bisa menyimpan record, selalu loading, padahal sinyal aman, wifi aman, penyimpanan hp saya aman, saya sudah mengalami kendala ini sebanyak 4 kali dalam masalah yg sama, tidak bisa menyimpan record. mohon maaf sekali developer, saya harus berpindah ke aplikasi lain, terima kasih sudah menemani saya selama ini, strava.",user strava kendala strava update aplikasi strava akurat simpan record loading sinyal aman wifi aman simpan aman alami kendala kali simpan record mohon maaf developer pindah aplikasi terima kasih tani strava,2
"tolong strava balikin saldo dana saya yang otomatis berlangganan ke apk strava saya gatau tiba"" saldo saya kesedot sendiri",tolong strava balikin saldo dana otomatis langgan aplikasi strava gatau saldo sedot,3
Kenapa APK ini langsung Main Tarik Uang melalui apk Play Store..padahal sebenarnya hanya Coba Gratis..tp ini main Tarik uang 609.000..sudah ikuti saran Coba mengembalikan Dana..tp tetap tdk di proses dengan alasan tidak memenuhi syarat..mohon kiranya Apk ini bisa mengembalikan Dana Yg d ambil Krn itu keperluan Berobat 🙏🙏🙏,aplikasi langsung main tarik uang aplikasi play storepadahal coba gratistp main tarik uang ikut saran coba kembali danatp proses alas penuh syaratmohon aplikasi kembali dana ambil perlu obat,1
apk nya sangat jelek uang saya di tarik tiba2 tanpa persetujuan saya mana saldo saya di dana 600 di tariknya dia semuanya apk nya gk bagus gaessss gk bertanggung jawab😒😒😒,aplikasi jelek uang tarik tuju saldo dana tarik aplikasi bagus gaessss tanggung,1
memudahkan dalam berolahraga,mudah olahraga,5
aplikasi bagus dan tampil dan memberi tau kerja keras kita 😊,aplikasi bagus tampil kerja keras,5
"saya tidak pernah berlangganan aplikasi strava ini. tiba"" semalem dana saya kepotong di dana. mohon bantu saya cara pengembali kan dana saya sebesar Rp. 342.990 secepat nya. saya sudah mengajukan pengembalian dana di google 🙏",langgan aplikasi strava semalem dana potong dana mohon bantu kembali dana cepat kembali dana google,1
min tolong kenapa pacenya tidak kelihatan malah jadi elev?,admin tolong pace elev,3
udah cape2 lari mati sendiri. padahal waktu sudah di aktifkan sebelum masuk ke kantong. tapi pas sampai finish ternyata ga ke record ini kenapa ya,cape lari mati aktif masuk kantong finish record,1
cocok untuk yg suka running,cocok suka running,5
"pertama kali menggunakan aplikasi ini berjalan baik, namun akhir2 ini terdapat loading menu yg begitu lama ketika sy masuk ke aplikasi.",kali aplikasi jalan loading menu masuk aplikasi,3
tolong tambahkan fitur untuk menu olahraga lompat tali. nanti baru saya kasih bintang 5,tolong tambah fitur menu olahraga lompat tali kasih bintang,1
saya kecewa sudah interval jauh jauh malah pace nya di 8/7,kecewa interval pace,3
"saya tidak pernah merasa berlangganan yearly di aplikasi ini, tapi saldo dana saya terpotong dengan nominal Rp. 609.390 tolong di kembalikan uang saya segera 😭😭",langgan yearly aplikasi saldo dana potong nominal tolong kembali uang,1
sangat bermanfaat dan memotivasi utk terus berlari..,manfaat motivasi lari,5
"Keren, terima kasih",keren terima kasih,5
suka dah,suka,5
"tolong kembalikan dana saya sebesar 609 RB,saya tidak pernh langganan diapk ini dan saya butuh dana itu balik lagi buat bayar ijazah saya🙏🏻",tolong kembali dana rbsaya pernh langgan diapk butuh dana bayar ijazah,1
aplikasi gendeng daftar menggunakan wifi tidak bisa melihat aktivitas dengan wifi tidak bisa.,aplikasi gendeng daftar wifi aktivitas wifi,1
"maaf saya rate bintang 1, lebih bagus versi yang sebelumnya si menurutku, agak nyesel si setelah saya update",maaf rate bintang bagus versi turut nyesel update,1
"gabisa masuk ke strava, udah download ulang tetep server eror,tapi nyoba Relive langsung jadi👎🏻",gabisa masuk strava download ulang tetep server erortapi nyoba relive langsung,1
"kepotong otomatia padahal dana udh gak cukutl di CC, saldo dan pulsa tapi malah pindah sendiri metode pembayarannya ke ovo aplikasi penyedot uang user gini banget cari duitnya",potong otomatia dana cukutl saldo pulsa pindah metode bayar aplikasi sedot uang user banget cari duit,1
"tolong ya metode pembayarannya di perbaiki, sya kemarin ngaktifin paket bulanan pembayaran sukses tapi gak bisa di pergunakan, akhirnya uang saya yg 100 ribu malah hilang, paket terkonfirmasi telah di bayar tapi malah tidak bisa di gunakan",tolong metode bayar baik kemarin ngaktifin paket bulan bayar sukses guna uang ribu hilang paket konfirmasi bayar,2
"tolong kembalikan dana saya, saya sangat butuh dana tersebut buat biaya sekolah saya, sebesar 609.390 segera, karna saya sangat butuh",tolong kembali dana butuh dana biaya sekolah karna butuh,1
sehat,sehat,5
"strava udah 2 kali lho kilometer nya salah...di smartwach cuma 5,5 km di strava kok isa 13km. tolong diperbaiki lagi..setelah update kok malah gini.",strava kali kilometer salahdi smartwach strava tolong baik lagisetelah update,3
"Dipakai untuk record perjalanan dengan Aplikasi ini bikin panas HP, sangat menguras baterai HP",pakai record jalan aplikasi bikin panas uras baterai,1
"GPS error, jarak tidak sesuai tolong diperbaiki.",error jarak sesuai tolong baik,2
"aplikasi Oke, membantu rekomen rute, dan cek statistik olahraga kita",aplikasi bantu rekomen rute statistik olahraga,4
keluar aplikasinya sendiri. gk bisa login. kesalahan server infonya. tpi gk bisa masuk sampai saat ini.,aplikasi login salah server info masuk,1
gak bisa daftar,daftar,1
"saya kasih bintang satu karena berbayar semua ga jelas, dikit-dikit bayar",kasih bintang bayar dikitdikit bayar,1
"sangat bagus untuk latihan, semangat untuk semua👍🏻",bagus latih semangat,5
"aplikasi aneh, saya udah hapus nih aplikasi tetep aja kepotong uang di e wallet, ga recommend duit ga bisa balik, costummer service nya juga ga layak, ga recommend nih aplikasi",aplikasi aneh hapus aplikasi tetep potong uang wallet recommend duit costummer service layak recommend aplikasi,1
gabisa di save aktivitas nya,gabisa save aktivitas,1
"apk nya bagus buat kita yg gk punya jam tangan lari,bisa di hp meski ribet bawa hp lari sih,tapi gk apa² keren",aplikasi bagus tangan laribisa ribet bawa lari sihtapi bagus,5
"koneksinya lambatt, kadang gak kedata!!!,,, cuma ketolong trend doang ini, kalo begini nda bakal panjang umurnya ni app... 👎👎👎👎",koneksi lambatt kadang data tolong trend doang kalo umur,1
"Kepotong otomatis Pembayaran nya, apa ini gabisa pengembalian dana?",potong otomatis bayar gabisa kembali dana,1
"eror ngga sih, masa berjalan doang 18 menit hampir 7 kilo",eror ngga jalan doang menit kilo,3
sejak update kemaren malah server gangguan terus mohon di cek admin strava,update kemaren server ganggu mohon admin strava,5
"tolong dong kembalikan uang saya, tiba2 ketarik otomatis dr akun dana saya, saya gatau apapa, tiba-tiba ketarik 609.390, kayanya saya ga sengaja kepencet atau apapun itu, tapi transaksi tersebut langsung Otomatis, saya mohon kembalikan uang saya secepatnyalah, saya sangat membutuhkannya",tolong kembali uang tarik otomatis akun dana gatau apapa tibatiba tarik kaya sengaja pencet transaksi langsung otomatis mohon kembali uang cepat butuh,1
gampang banget eror di pace nya sama km nya👎,gampang banget eror pace,1
"Tolong kembalikan dana berlangganan sebesar 609.390, karena saya tidak merasa berlangganan. Mohon secepatnya di proses pengembalian dananya.",tolong kembali dana langgan langgan mohon cepat proses kembali dana,1
"tidak bisa daftar, tidak bisa login,",daftar login,1
rating turunin dulu suka eror stravanya bersepada sudah 2 jam lebih tapi terhitung 1 jam tidak jelas koneksi bagus,rating turunin suka eror stravanya sepada hitung koneksi bagus,3
"pengalaman menggunakan aplikasi yg bisa support kegiatan sehari"" dg menyenangkan",alam aplikasi support giat hari senang,5
"kenapa punya ku gagal masuk terus y padahal dari kemarin lancar"" saja",gagal masuk kemarin lancar,5
"edukasi buat yang pake strava, kemarin tiba tiba ada transaksi yang saya tidak tau dan bukan saya yang melakukan transaksi tersebut, ketika saya cek di notifikasi email ternyata dana saya di tarik oleh aplikasi ini sebesar ±Rp. 600.000.00. Hati-hati buat teman-teman pengguna strava jangan sampai mengalami hal yang sama.",edukasi pake strava kemarin transaksi transaksi notifikasi email dana tarik aplikasi hatihati temanteman guna strava alami,1
Sangat membantu untuk mencapai rekor pribadi dalam cabang olahraga.,bantu capai rekor pribadi cabang olahraga,5
"appplikasi ini sangat membantu monitoring aktivitas, tingkatkan terus 👍👍",appplikasi bantu monitoring aktivitas tingkat,5
Sudah bagus tapi kdang akurasi Pace dan jrak jauh beda dengan yang di smartwatch,bagus kdang akurasi pace jrak beda smartwatch,4
oklah,oklah,5
akhir-akhir ini aplikasi kurang akurat untuk mengukur jarak dan Pace nya,akhirakhir aplikasi akurat ukur jarak pace,3
asyik...bagus secara visual,asyikbagus visual,5
kok starva sekarang manis diawal sj . makin hari makin hari kok eror .dan kadangklm tdk terbaca kadang petanya dan lain². tolong pihak starva di perbaiki lagi ya. di tunggu,starva manis awal eror kadangklm baca kadang peta tolong starva baik tunggu,3
"ini knp strava sekarang lebih sering mati woii, ini gmn ceritanya padahal udah mulai ngerekam kenapa malah ngereset trs mati sendiri padahal dulu nggak kayak gini tolong developer di perbaiki lagi ini!! mohon tanggapannya dari pihak developer jika masih terus""an seperti ini saya akan laporkan masalah ini ke pihak play store",strava mati woii cerita ngerekam ngereset mati kayak tolong developer baik mohon tanggap developer terus lapor play store,2
"saldo dana saya kesedot, dan tanpa pengetahuan saya dan saya ingin saldo saya kembali",saldo dana sedot tahu saldo,1
akurasi nya akurat banget 👍🏻👍🏻,akurasi akurat banget,5
jadi tambah semangat untuk berolah raga,semangat olah raga,4
woyy aplikasi lu benerin eror mulu saat mau masukk,woyy aplikasi benerin eror mulu masukk,1
"aplikasi sering eror, rute tidak terekam. sering close sendiri tidak bisa dibuka. mohon diperbaiki. meskipun begitu ini aplikasi favorite saya",aplikasi eror rute rekam close buka mohon baik aplikasi favorite,3
strava ku kok gk kena ya eror banget perasaan dulu juga udah login bisa masuk eh pas mau dipake malah gk kene harus login lagi pas login katanya ga bisa masuk selver katanya ada kerusakan,strava kena eror banget login masuk dipake kene login login masuk selver rusa,1
buat ngerekam progres mantap ni,ngerekam progres bagus,5
"dibawah 1,5 jam bagus, ditest lewat 1,5 jam lalu hilang tidak ada rekaman nya,, benahi !!!",bawah bagus ditest hilang rekam benah,2
"tolong, untuk di device saya tidak bisa login terus. padahal seblumnya bisa login.",tolong device login seblumnya login,1
setelah diupdate malah ga akurat ancur kecewa,diupdate akurat ancur kecewa,1
"sampah, scam, melakukan pembayaran tanpa kode biometrik",sampah scam bayar kode biometrik,1
"strava tolol capek2 gowes di tengah jalan gak record, percuma langganan,auto jeda gak jelas",strava tolol capek gowes jalan record langgananauto jeda,1
simple dan akurat,simple akurat,5
terkadang mau menyimpan aktivitas harus menunggu dulu,terkadang simpan aktivitas tunggu,3
aplikasinya eror gak bisa masuk tolong saranya dari minggu lalu eror terus,aplikasi eror masuk tolong sara minggu eror,1
tolong strava saya tidak sengaja berlangganan dan uang di akun dana saya terpotong otomatis sebesar 609.390. mohon di kembalikan 😭😭😭🙏🙏,tolong strava sengaja langgan uang akun dana potong otomatis mohon kembali,1
tolong di perbaiki soalnya sering sekali saya lari makek apk strava di peta selalu keluar jalur padahal sinyal bagus bagus saja,tolong baik lari makek aplikasi strava peta jalur sinyal bagus bagus,2
bikin semangat olgaa,bikin semangat olgaa,4
lebih mudah dalam memantau aktivitas berolahraga,mudah pantau aktivitas olahraga,5
kembalikan dana saya sebesar Rp.609.390 saya tidak pernah berlangganan dan saya tidak pernah mencoba untuk berlangganan. tapi kenapa dana saya terpotong sebesar Rp.609.390???. tolong dipercepat untuk penyelesaian masalah ini.,kembali dana langgan coba langgan dana potong tolong cepat selesai,1
pemantau olahraga,pantau olahraga,5
sok keras anjg,keras anjg,1
tidak bisa di instal,instal,1
Ini bug atau apa sih? Kok bisa dh 2x g bisa simpen aktivitas?!,simpen aktivitas,1
makasi strava semoga ga berubah aturannya,makas strava moga ubah atur,5
aplikasi bagus .... menemani olahragaku... cukup bagiku yg manula ini....😁,aplikasi bagus tani olahraga bagi manula,5
ngebet banget ingin berlangganan,ngebet banget langgan,1
ini gmnh ya kejelasannya dari Apps Strava? saya tidak pernah berlangganan tapi ke potong 609 k? tolong penjelasannya terkait kerugian ini !!!,gmnh jelas apps strava langgan potong tolong jelas kait rugi,1
"maaf saya minta pengembalian dana gopay saya yg trpotong 600 K . saya TDK pernah tau berlangganan aplikasi ini saya mohon dikembalikan dana saya , terimakasih.semoga ada kebijakan untuk pengembalian dana gopay saya.saya. tidak tahu kenapa bisa berlangganan padahal saya tidak pernah tau aplikasi ini saya mohon kembalikan dana saya di gopay karena sangat membutuhkan uang dana tersebut.senin 11/08/25 aplikasi ini tanpa no. pin langsung otomatis terpotong gopay saya",maaf kembali dana gopay trpotong langgan aplikasi mohon kembali dana terimakasihsemoga bijak kembali dana gopay sayasaya langgan aplikasi mohon kembali dana gopay butuh uang dana tersebutsenin aplikasi langsung otomatis potong gopay,5
"kok dana aku ke tarik sendiri kak, tiba tiba banget berlangganan 😭🙏",dana tarik banget langgan,1
anjir lah kebeli paket 1 tahun mana gak biss pengembalian dana lagi 🤮,anjir kebel paket biss kembali dana,1
"ngebug terus bjir, aku jalan lurus jadi belok"". mana aslinya cuma ±3km jadi 8km",ngebug bjir jalan lurus belok asli,2
otw jadi pesepeda kalcer🤭🤙🏻,sepeda kalcer,5
"bagus, akurat tapi kenapa di icon bagi waktu di pencet tidak ada tulisan unduh dan waktu di pencet tampilan nya beda dengan yg lain... bagaimana cara unduhnya? terimakasih",bagus akurat icon pencet tulis unduh pencet tampil beda unduh terimakasih,4
lebih mantap lagi kalau gratis,bagus gratis,5
tidak dapat masuk,masuk,1
apk gajelass GPS nya gak sesuai,aplikasi gajelass sesuai,1
apo ang mintak Piti Lo ke dana. 600 lobio .... kampie. dak Ado den boli2 siko do. tau ang.,mintak dana lobio kampie siko,1
apa ni apk tanpa pertanggungjawaban nya masak an saldo sayaa bisaa kesedot 600 rb sedangkan sayaa cuman 2 atau 3 klii pakek apk ini saldo sayaa bisa ke sedot sampek 609 rb sedangkan sana tidak melakukan pembayaran dia malah nyedott saldo sanaa langsung dri DANA sayaa mintak pertanggungjawaban nya dong,aplikasi pertanggungjawaban masak saldo sayaa bisaa sedot sayaa cuman klii pakek aplikasi saldo sayaa sedot sampek bayar nyedott saldo sanaa langsung dana sayaa mintak pertanggungjawaban,1
"ini apk apaansih, saya tidak pernah instal aplikasi ini sama sekali, ini saya instal karena ada dana yang terpotong 600k dengan riwayat penerima com.strava, berlangganan pun tidak pernah",aplikasi apaansih instal aplikasi instal dana potong riwayat terima comstrava langgan,1
woi ini gimana pace malah gaada malah ada kenaikan elev tolong gimana caranya biar ada pace nya,gimana pace gaada naik elev tolong gimana biar pace,1
"saya suka aplikasi ini, tetapi kenapa beberapa kali hasil waktunya tidak sesuai. saat aplikasi berjalan menunjukkan 3 jam, namun saat selesai aktivitas waktu hanya 1jam 15 menit. kenapa ya? tolong diperbaiki strava",suka aplikasi kali hasil sesuai aplikasi jalan selesai aktivitas menit tolong baik strava,2
"gajelas banyak gangguan banget dah ni aplikasi, banyak bug mental mulu gabisa login",gajelas ganggu banget aplikasi mental mulu gabisa login,1
hidup Indonesia,hidup indonesia,5
tolong kembalikan uang saya yang bernilai 609k itu uang untuk berobat ibu saya😭,tolong kembali uang nila uang obat,1
sekarang tidak bisa di unduh/download hasil map strava,unduhdownload hasil strava,1
apakah cuma saya yang gx bisa masuk ke aplikasi ini 🤣🤣🤣,masuk aplikasi,2
"sangat tidak di rekomendasikan, kebanyakan bug dan eror, padahal dulu pernah download strava baik"" aja, ganiat bikin aplikasi hapus aja",rekomendasi banyak eror download strava ganiat bikin aplikasi hapus,1
ga jelas mapsnya error. percuma dipremiumin tp hasilnya malah ga jelas.,mapsnya error dipremiumin hasil,1
