username,review,casefolding,preprocessed_text,score,at,appversion
Firhan Rachman,keren,keren,keren,5,2025-09-06 09:48:03,426.11
Syamsul bahri,tolong kembalikan uang saya 609.390 yang telah anda ambil dari aplikasi gopaysaya.saya tidak pernah menginstal aplikasi strava apalagi berlangganan.jadi tolong kembalikan uang saya secepatnya.jangan menjadi yg merugikan masyarakat.strava aplikasi pencuri.,tolong kembalikan uang saya 609.390 yang telah anda ambil dari aplikasi gopaysaya.saya tidak pernah menginstal aplikasi strava apalagi berlangganan.jadi tolong kembalikan uang saya secepatnya.jangan menjadi yg merugikan masyarakat.strava aplikasi pencuri.,tolong kembali uang ambil aplikasi gopaysayasaya menginstal aplikasi strava berlanggananjadi tolong kembali uang secepatnyajangan yg rugi masyarakatstrava aplikasi curi,1,2025-09-06 09:30:01,
Amir Wahyu,sangat membantu dalam mengukur kecepetan dan jarak berlari,sangat membantu dalam mengukur kecepetan dan jarak berlari,bantu ukur kecepetan jarak lari,5,2025-09-06 08:59:24,427.12
Azhari,ok,ok,ok,5,2025-09-06 07:24:09,427.12
Raffif Adzaidhan,sangat akurat untuk sekedar aplikasi,sangat akurat untuk sekedar aplikasi,akurat dar aplikasi,5,2025-09-06 07:11:59,427.12
Jahran Hafizudin,gaaa kerekam semua,gaaa kerekam semua,gaaa rekam,1,2025-09-06 06:55:50,426.11
dendy geri,"sudah di upgrade sudah di play, gps on, tiba tiba pause sendiri tidak terekam sama sekali, damnnnnn!!!!!!","sudah di upgrade sudah di play, gps on, tiba tiba pause sendiri tidak terekam sama sekali, damnnnnn!!!!!!",upgrade play gps on pause rekam damnnnnn,1,2025-09-06 06:06:36,427.12
Indry Sinaga,"mohon maaf saya tidak tau kalau saya berlangganan,tapi kenapa uang saya di tarik otomatis dari dana saya mohon di pulangkan","mohon maaf saya tidak tau kalau saya berlangganan,tapi kenapa uang saya di tarik otomatis dari dana saya mohon di pulangkan",mohon maaf tau berlangganantapi uang tarik otomatis dana mohon pulang,5,2025-09-06 05:16:23,426.11
Melan Lianawati,tolong kembalikan duit saya di Dana sebesar 609.390 jangan di listing doang banyak kasus yg sama kaya gini ketarik dengan sendiri nya tolong tanggung jawap nya dong kalo ga bisa tanggung jawap tutup aja aplikasi ini!!! sang at merugikan orang lainn!!!,tolong kembalikan duit saya di dana sebesar 609.390 jangan di listing doang banyak kasus yg sama kaya gini ketarik dengan sendiri nya tolong tanggung jawap nya dong kalo ga bisa tanggung jawap tutup aja aplikasi ini!!! sang at merugikan orang lainn!!!,tolong kembali duit dana listing doang yg kaya gin tarik nya tolong tanggung jawap nya kalo ga tanggung jawap tutup aja aplikasi sang at rugi orang lainn,1,2025-09-06 00:45:20,427.12
bintang 007,"apk tiba² gaa bisa dibuka, pas coba di uninstall terus install lagi tetep ga bisa dibuka,","apk tiba² gaa bisa dibuka, pas coba di uninstall terus install lagi tetep ga bisa dibuka,",apk gaa buka pas coba uninstall install tetep ga buka,3,2025-09-06 00:42:03,427.12
athariqk,Jadi konsisten lari,jadi konsisten lari,konsisten lari,5,2025-09-05 19:17:56,426.11
Mu'Amar Yaro Huda,"harusnya daftar akun tidak perlu dipersulit. selalu saja ""silahkan gunakan email yang valid"" padahal udah valid. seharusnya tidak perlu ada batasan harus pakai domain apa selagi bisa terima OTP ya tidak masalah.","harusnya daftar akun tidak perlu dipersulit. selalu saja ""silahkan gunakan email yang valid"" padahal udah valid. seharusnya tidak perlu ada batasan harus pakai domain apa selagi bisa terima otp ya tidak masalah.",daftar akun sulit silah email valid udah valid batas pakai domain selagi terima otp ya,2,2025-09-05 18:36:26,
Tino Andika,woi kenapa strava saya eror kenapa ini,woi kenapa strava saya eror kenapa ini,woi strava eror,1,2025-09-05 17:47:17,427.12
Noni Anggraini,luar biasa,luar biasa,,5,2025-09-05 13:47:25,427.12
hardi citra,keren,keren,keren,5,2025-09-05 08:54:00,427.12
Wahyu Trinugroho,"strava yg sekrng kok beda yaa sama yg th lalu. dengan rute yg sama dg th lalu tp kok hasil jaraknya bedaa yaa dengan th ini dan selisihnya juga cukup banyak. yg ditahun lalu dengan rute yg sama itu sekita 6km sekarang jadi 6,8km 🙏","strava yg sekrng kok beda yaa sama yg th lalu. dengan rute yg sama dg th lalu tp kok hasil jaraknya bedaa yaa dengan th ini dan selisihnya juga cukup banyak. yg ditahun lalu dengan rute yg sama itu sekita 6km sekarang jadi 6,8km 🙏",strava yg sekrng beda yaa yg th rute yg dg th tp hasil jarak bedaa yaa th selisih yg tahun rute yg kita km km,3,2025-09-05 08:13:27,425.11
Ricki Alger,Aplikasi bagus buat memantau kesehatan kita,aplikasi bagus buat memantau kesehatan kita,aplikasi bagus pantau sehat,5,2025-09-05 07:51:12,427.12
리사,"kadang bingnung kalau ga kesimpen , kenapa langsung ke fitur yang berbayar...","kadang bingnung kalau ga kesimpen , kenapa langsung ke fitur yang berbayar...",kadang bingnung ga kesimpen langsung fitur bayar,3,2025-09-05 07:45:02,
Hafiz Fernandi,mantaplaa,mantaplaa,mantaplaa,5,2025-09-05 07:27:00,426.11
Wahyu Setyo Nugroho,mantap data akurat,mantap data akurat,mantap data akurat,5,2025-09-05 07:23:44,427.12
Arman Maksud,tolong min strava tarik uang saya sebesar 600 pliss min tolong pulangin uang itu sayaa gk ada berlangganan kok tiba tiba ketarik tolong min kembalikan uang sayaa,tolong min strava tarik uang saya sebesar 600 pliss min tolong pulangin uang itu sayaa gk ada berlangganan kok tiba tiba ketarik tolong min kembalikan uang sayaa,tolong min strava tarik uang pliss min tolong pulangin uang sayaa gk langgan tarik tolong min kembali uang sayaa,1,2025-09-05 04:47:08,423.12
Dendi Hardiansah,"tolong kembalikan dana saya sebsar 609ribu saya tidak mengetahui, ini sama aja mencuri uang org lain tanpa persetujuan org lain","tolong kembalikan dana saya sebsar 609ribu saya tidak mengetahui, ini sama aja mencuri uang org lain tanpa persetujuan org lain",tolong kembali dana sebsar ribu aja curi uang org tuju org,1,2025-09-05 00:13:42,426.11
Dudu Umar Bakrie,saya tidak pernah approve berlangganan 1 tahun kenapa saldo ducabut berlangganan 1 tahun. kembalikan uang saya.,saya tidak pernah approve berlangganan 1 tahun kenapa saldo ducabut berlangganan 1 tahun. kembalikan uang saya.,approve langgan saldo ducabut langgan kembali uang,1,2025-09-04 21:22:13,
Hulasi Pasaribu,aplikasi ini sangat bagus dan berguna,aplikasi ini sangat bagus dan berguna,aplikasi bagus guna,5,2025-09-04 20:06:12,
Moch vikri Rizaldi,"saya sudah tidak memakai strava tetapi aplikasi menyedot dari dana tanpa persetujuan saya ini bagaimana ya admin tolong dong tiba tiba 609.000 ribu hilang, saya mibta di refund","saya sudah tidak memakai strava tetapi aplikasi menyedot dari dana tanpa persetujuan saya ini bagaimana ya admin tolong dong tiba tiba 609.000 ribu hilang, saya mibta di refund",pakai strava aplikasi sedot dana tuju ya admin tolong ribu hilang mibta refund,1,2025-09-04 19:30:06,427.12
Irwan Irwan,sudah stop tapi tagihan langganan muncul tarus 🤦🤦 bagaimana cara stopnya ?,sudah stop tapi tagihan langganan muncul tarus 🤦🤦 bagaimana cara stopnya ?,stop tagih langgan muncul tarus stop,1,2025-09-04 18:24:56,
Zaii No hack,bagus,bagus,bagus,5,2025-09-04 17:21:57,
dewi sundari,"tolong ya kembalikan dana 609k yg di tarik tanpa persetujuan akun saya, 600 uang yg ga dikit, jangan bikin vitur yg merugikan pengguna yaaa, mana ngajuin ga d acc pdhl bau beberapa jam setelah transaksi, toloooong kembalikan uang sayaaaaaaa","tolong ya kembalikan dana 609k yg di tarik tanpa persetujuan akun saya, 600 uang yg ga dikit, jangan bikin vitur yg merugikan pengguna yaaa, mana ngajuin ga d acc pdhl bau beberapa jam setelah transaksi, toloooong kembalikan uang sayaaaaaaa",tolong ya kembali dana k yg tarik tuju akun uang yg ga dikit bikin vitur yg rugi guna yaaa ngajuin ga d acc pdhl bau jam transaksi toloooong kembali uang sayaaaaaaa,1,2025-09-04 15:21:50,426.11
Irham marzuki,"Tolong kembalilan uang saya 609 rb, saya tidak pernah merasa melakukan pembayaran tersebut","tolong kembalilan uang saya 609 rb, saya tidak pernah merasa melakukan pembayaran tersebut",tolong kembalilan uang rb bayar,1,2025-09-04 11:05:36,426.11
Saiko Nagaya,Keren,keren,keren,5,2025-09-04 08:01:08,426.11
Linda Marbun,"Saya tidak membeli apl ini, tiba2 saldo saya di shopee lenyap 600.000. Saya ajukan pengembalian dana tapi pihal google one menolak dgn alasan kebijakan. Jujur saya sangat amat kecewa karna saya jarang banget menggunakan apl ini. Setelah berlangganan aktif, ternyata aplikasinya sama aja spt strava yg gak berlangganan. Sumpah rugi banget rasanya. Google one, saya sangat kecewa dgn peraturan ini, sangat merugikan.!!!","saya tidak membeli apl ini, tiba2 saldo saya di shopee lenyap 600.000. saya ajukan pengembalian dana tapi pihal google one menolak dgn alasan kebijakan. jujur saya sangat amat kecewa karna saya jarang banget menggunakan apl ini. setelah berlangganan aktif, ternyata aplikasinya sama aja spt strava yg gak berlangganan. sumpah rugi banget rasanya. google one, saya sangat kecewa dgn peraturan ini, sangat merugikan.!!!",beli apl saldo shopee lenyap aju kembali dana pihal google one tolak dgn alas bijak jujur kecewa karna jarang banget apl langgan aktif aplikasi aja spt strava yg gak langgan sumpah rugi banget google one kecewa dgn atur rugi,1,2025-09-03 22:00:56,426.11
muhamad nazar,kecewa kenapa pacenya di tidak adakann?,kecewa kenapa pacenya di tidak adakann?,kecewa pace adakann,1,2025-09-03 20:19:56,426.11
Audrey dea Ghianninda,"please process a refund for the recent transaction in my history, i didn't subcribe to strava","please process a refund for the recent transaction in my history, i didn't subcribe to strava",please process a refund for the recent transaction in my history i didnt subcribe to strava,1,2025-09-03 18:33:17,
Kunrijaalan2024,gk paham aplikasinya 🤣🤣🤣,gk paham aplikasinya 🤣🤣🤣,gk paham aplikasi,1,2025-09-03 17:59:52,426.11
sky energi 88,mantap,mantap,mantap,5,2025-09-03 16:19:46,
Lennzyx,"tolong dong benarin sistem nya , susah bgt buat login doang sengaja kasih bintang lima biar bisa kebaca","tolong dong benarin sistem nya , susah bgt buat login doang sengaja kasih bintang lima biar bisa kebaca",tolong benarin sistem nya susah bgt login doang sengaja kasih bintang biar baca,5,2025-09-03 16:09:19,426.11
mujai jai,Bagus,bagus,bagus,5,2025-09-03 08:21:29,426.11
mubdik munqizul annas,👍👍👍👌👌,👍👍👍👌👌,,5,2025-09-03 07:55:49,426.11
ahmad ashif,mantap jiwa,mantap jiwa,mantap jiwa,5,2025-09-03 07:12:35,426.11
Agung Mandala,sudah connect dengan huawei watch tapi tidak ada data nya,sudah connect dengan huawei watch tapi tidak ada data nya,connect huawei watch data nya,1,2025-09-03 06:44:52,426.11
widayat prabowo,dood aplikasi,dood aplikasi,dood aplikasi,5,2025-09-03 06:42:57,426.11
Baskara,"coba berikan tanggapan ke komentar ini jika dana 609.000 bisa di refund kembali, soalnya saya butuh uang itu buat bulanan","coba berikan tanggapan ke komentar ini jika dana 609.000 bisa di refund kembali, soalnya saya butuh uang itu buat bulanan",coba tanggap komentar dana refund butuh uang bulan,1,2025-09-02 20:31:03,426.11
Rasya Pria atmaja,saya tidak berminat berlangganan tiba tiba dana saya hilang tolong kembalikan dana saya min,saya tidak berminat berlangganan tiba tiba dana saya hilang tolong kembalikan dana saya min,minat langgan dana hilang tolong kembali dana min,1,2025-09-02 18:35:16,426.11
Novri Evendi,Tolong kembalikan dana saya sebesar Rp.609.390 saya tidak pernah berlangganan dan tidak mengaktifkan untuk berlangganan. tiba tiba dapatkan notifikasi dana saya terpotong sebesar Rp.609.390. Saya sudah buat pengajuan tolong dikembalikan dan dipercepat untuk penyelesaian masalah ini. JANGAN JADI APLIKASI SCAM!I,tolong kembalikan dana saya sebesar rp.609.390 saya tidak pernah berlangganan dan tidak mengaktifkan untuk berlangganan. tiba tiba dapatkan notifikasi dana saya terpotong sebesar rp.609.390. saya sudah buat pengajuan tolong dikembalikan dan dipercepat untuk penyelesaian masalah ini. jangan jadi aplikasi scam!i,tolong kembali dana rp langgan aktif langgan dapat notifikasi dana potong rp aju tolong kembali cepat selesai aplikasi scami,1,2025-09-02 15:42:47,426.11
"Harimurti SST, MM",Bagus,bagus,bagus,5,2025-09-02 15:09:57,
Fadzil,"saat ingin masuk ke strava tidak bisa,sudah coba ganti masuk lewat email,google dan fb tetap tidak bisa.tolong segera perbaiki🙏","saat ingin masuk ke strava tidak bisa,sudah coba ganti masuk lewat email,google dan fb tetap tidak bisa.tolong segera perbaiki🙏",masuk strava bisasudah coba ganti masuk emailgoogle fb bisatolong baik,1,2025-09-02 14:39:12,426.11
Ali Nu'man,kenapa saya tidak bisa login,kenapa saya tidak bisa login,login,4,2025-09-02 13:52:58,426.11
Jendrakece 12,apk nya bagus banget kalian wajib download sih rugi GK download,apk nya bagus banget kalian wajib download sih rugi gk download,apk nya bagus banget wajib download sih rugi gk download,5,2025-09-02 13:42:23,426.11
as sodik,balikin rekaman 9km gw masa hp gw sampe uda d restart malah for close gimana sih,balikin rekaman 9km gw masa hp gw sampe uda d restart malah for close gimana sih,balikin rekam km gw hp gw sampe uda d restart for close gimana sih,1,2025-09-02 11:10:30,
Febri Mulyadi,"Kemarin saldo seabank saya tiba-tiba kesedot dari strava sejumlah Rp. 609.390. Padahal saya tidak ada berlanggana yang satu tahun. Saya sangat merasa kaget, tidak menyangka, dan merasa sangat rugi. Uang itu sangat saya butuhkan untuk biaya pendidikan. Saya harap saldo seabank saya segera dikembalikan. Karena saya tidak rela jika saldo itu ditarik oleh pihak strava","kemarin saldo seabank saya tiba-tiba kesedot dari strava sejumlah rp. 609.390. padahal saya tidak ada berlanggana yang satu tahun. saya sangat merasa kaget, tidak menyangka, dan merasa sangat rugi. uang itu sangat saya butuhkan untuk biaya pendidikan. saya harap saldo seabank saya segera dikembalikan. karena saya tidak rela jika saldo itu ditarik oleh pihak strava",kemarin saldo seabank tibatiba sedot strava rp berlanggana kaget sangka rugi uang butuh biaya didik harap saldo seabank kembali rela saldo tarik strava,1,2025-09-02 10:43:29,425.11
Happy Cell,"lumayan untuk pemula.. tidak ada iklan, mudah digunakan..","lumayan untuk pemula.. tidak ada iklan, mudah digunakan..",lumayan mula iklan mudah,4,2025-09-02 08:48:20,
Aneke Marina,aplikasi keren bisa bantu buat olahraga,aplikasi keren bisa bantu buat olahraga,aplikasi keren bantu olahraga,4,2025-09-02 07:58:35,426.11
Agil Syahrial,tolong kembalikan saldo dana saya sebesar 609.390 terpotong tanpa persetujuan sayaa padahal saya tidak berlangganan bagaimana ini saya tidak terima atas pengambilan dana saya tanpa persetujuan saya!!,tolong kembalikan saldo dana saya sebesar 609.390 terpotong tanpa persetujuan sayaa padahal saya tidak berlangganan bagaimana ini saya tidak terima atas pengambilan dana saya tanpa persetujuan saya!!,tolong kembali saldo dana potong tuju sayaa langgan terima ambil dana tuju,1,2025-09-02 00:26:49,416.14
Pujo Santo,sering forced closed di handphone redmi 10C sudah diinstal ulang dan hapus data tetap tidak berefek. gimana penyelesaiannya ya ??,sering forced closed di handphone redmi 10c sudah diinstal ulang dan hapus data tetap tidak berefek. gimana penyelesaiannya ya ??,forced closed handphone redmi c diinstal ulang hapus data efek gimana selesai ya,3,2025-09-01 21:02:29,
Alfahrezi 2505,ko perangkat saya tidak bisa login ya,ko perangkat saya tidak bisa login ya,ko perangkat login ya,1,2025-09-01 19:31:04,426.11
Iki Mau,"Tolong untuk admin strava kembalikan dana saya senilai Rp609.390,00 dikarenakan saya merasa tidak berlangganan akses premium di aplikasi strava.","tolong untuk admin strava kembalikan dana saya senilai rp609.390,00 dikarenakan saya merasa tidak berlangganan akses premium di aplikasi strava.",tolong admin strava kembali dana nila rp langgan akses premium aplikasi strava,1,2025-09-01 13:40:16,426.11
Setia Amar,Sangat membantu dan memuaskan sekali dalam merekam aktifitas berolah raga dengan menggunanakan Strava ini. terima kasih Strava,sangat membantu dan memuaskan sekali dalam merekam aktifitas berolah raga dengan menggunanakan strava ini. terima kasih strava,bantu muas rekam aktifitas olah raga menggunanakan strava terima kasih strava,5,2025-09-01 13:40:14,426.11
Rizki Icong,gua udah ga pake apk nya tiba tiba nyedot dana 600k udah minta refund dana malah ga bisa mana duit bukan makan gausah di download guys gua udah minta pengembalian dana udah 3 hari belum juga di kembaliin,gua udah ga pake apk nya tiba tiba nyedot dana 600k udah minta refund dana malah ga bisa mana duit bukan makan gausah di download guys gua udah minta pengembalian dana udah 3 hari belum juga di kembaliin,gua udah ga pake apk nya nyedot dana k udah refund dana ga duit makan gausah download guys gua udah kembali dana udah kembaliin,1,2025-09-01 10:29:03,
TOKO LISTRIK,mantap,mantap,mantap,5,2025-09-01 08:39:59,426.11
heru purwani,strava keren👍,strava keren👍,strava keren,5,2025-09-01 08:38:42,426.11
Fauzan putra Pratama,kalau bisa lebih diakuratkan lagi km nya,kalau bisa lebih diakuratkan lagi km nya,akurat km nya,5,2025-09-01 07:59:29,425.11
Yudi Mahad,the best running aplication,the best running aplication,the best running aplication,5,2025-09-01 07:57:16,426.11
Feodore Undap,saya senang dengan strava,saya senang dengan strava,senang strava,5,2025-09-01 07:39:44,426.11
Sabiatul Afiyah,"ini knp ga bisa log in ya? error mulu, tolong servernya diperbaiki","ini knp ga bisa log in ya? error mulu, tolong servernya diperbaiki",knp ga log in ya error mulu tolong servernya baik,4,2025-08-31 20:57:39,
Fajar Santoso,Bagus,bagus,bagus,5,2025-08-31 19:56:46,425.11
Yayan,"Tolong di perbaiki keakuratan Pace dan jaraknya, sangat tidak akuratt bintang satu","tolong di perbaiki keakuratan pace dan jaraknya, sangat tidak akuratt bintang satu",tolong baik akurat pace jarak akuratt bintang,1,2025-08-31 19:54:02,
Fajar Pangestu,uang saya tiba² ke sedot 609000 padahal GK ada Langgangan toh bisa2 ya kesedot tolong la di kembalikan,uang saya tiba² ke sedot 609000 padahal gk ada langgangan toh bisa2 ya kesedot tolong la di kembalikan,uang sedot gk langgang ya sedot tolong la kembali,2,2025-08-31 18:40:49,426.11
Bayu,"kenapa setiap mau lari g pernah je record trs pacenya mentok di 15 aja padahal awal² download mah lancar bisa pace 4-3, tapi pas akhir² ini malah ngebug kadang jaraknya g ke record sama sekali","kenapa setiap mau lari g pernah je record trs pacenya mentok di 15 aja padahal awal² download mah lancar bisa pace 4-3, tapi pas akhir² ini malah ngebug kadang jaraknya g ke record sama sekali",lari g je record trs pace mentok aja download mah lancar pace pas ngebug kadang jarak g record,2,2025-08-31 18:37:23,423.12
Iyank Irham2000,admin bisa nggak ini aplikasi diperbaiki bikin login melulu nggak tau apa masalahnya percuma aja gitu downloadnya hadeeuh udah gitu harus berlangganan lagi,admin bisa nggak ini aplikasi diperbaiki bikin login melulu nggak tau apa masalahnya percuma aja gitu downloadnya hadeeuh udah gitu harus berlangganan lagi,admin nggak aplikasi baik bikin login melulu nggak tau aja gitu downloadnya hadeeuh udah gitu langgan,1,2025-08-31 15:05:36,426.11
Anho Yulis,saya kok tidak bisa masuk ke strava padahal sebelumnya bisa,saya kok tidak bisa masuk ke strava padahal sebelumnya bisa,masuk strava,3,2025-08-31 14:43:40,426.11
I Putu Panji Mahardika,"aplikasinya bagus, tapi sering eror gak tepat GPSnya kacau. Udah lari 5Km kebaca malah 2km 😂 memalukan. tolong perbaiki lagi dong. biar gak malu-maluin pas di posting 🙏","aplikasinya bagus, tapi sering eror gak tepat gpsnya kacau. udah lari 5km kebaca malah 2km 😂 memalukan. tolong perbaiki lagi dong. biar gak malu-maluin pas di posting 🙏",aplikasi bagus eror gak gpsnya kacau udah lari km baca km malu tolong baik biar gak malumaluin pas posting,3,2025-08-31 13:49:35,426.11
desti laowo,saya tidak sengaja membeli item dan berlangganan di aplikasi tersebut mohon dana saya di kembalikan sebesar 609.390 saya sangat butuhh mohon uang saya dikembalikan.,saya tidak sengaja membeli item dan berlangganan di aplikasi tersebut mohon dana saya di kembalikan sebesar 609.390 saya sangat butuhh mohon uang saya dikembalikan.,sengaja beli item langgan aplikasi mohon dana kembali butuhh mohon uang kembali,1,2025-08-31 12:50:14,
Dilan Leonardo,"Tolong kembalikan uang saya 609 Rb saya tidak berminat berlangganan untuk setahun, ini otomatis potong dari DANA tanpa persetujuan dahulu . tolong kembalikan jangan jadi aplikasi SCAM!!!!!","tolong kembalikan uang saya 609 rb saya tidak berminat berlangganan untuk setahun, ini otomatis potong dari dana tanpa persetujuan dahulu . tolong kembalikan jangan jadi aplikasi scam!!!!!",tolong kembali uang rb minat langgan tahun otomatis potong dana tuju tolong kembali aplikasi scam,1,2025-08-31 12:22:52,426.11
Lyrical Life,"app ini kalo di hp ngawur, jarak 5 km jadi 11 km, mana Pace nya Pace 2 kocak bat, Lo kira gw cheetah bisa lari sekencang itu","app ini kalo di hp ngawur, jarak 5 km jadi 11 km, mana pace nya pace 2 kocak bat, lo kira gw cheetah bisa lari sekencang itu",app kalo hp ngawur jarak km km pace nya pace kocak bat lo gw cheetah lari kencang,1,2025-08-31 11:09:19,426.11
Lisnawati Yuningsih Siregar,"Tolong dong admin,,antah memang aplikasinya narik langganan otomatis atau anak saya pencet pencet hp hingga salah pencet langganan,,dan terbayar 609.390,,tolong bantukan saya tentang pengembalian dana saya ini,karna saya tidakenggunakam aplikasi ini,,saya cuma pekerja biasa,uang sejumlah itu sangat berarti bagi saya 🙏🙏🙏","tolong dong admin,,antah memang aplikasinya narik langganan otomatis atau anak saya pencet pencet hp hingga salah pencet langganan,,dan terbayar 609.390,,tolong bantukan saya tentang pengembalian dana saya ini,karna saya tidakenggunakam aplikasi ini,,saya cuma pekerja biasa,uang sejumlah itu sangat berarti bagi saya 🙏🙏🙏",tolong adminantah aplikasi narik langgan otomatis anak pencet pencet hp salah pencet langganandan bayar tolong bantu kembali dana inikarna tidakenggunakam aplikasi inisaya kerja biasauang,1,2025-08-31 09:30:20,426.11
ARKAN Hammam,mayann buat pengukur jarak,mayann buat pengukur jarak,mayann ukur jarak,5,2025-08-31 09:12:05,426.11
Muhammad Victor Siahaya,sangat bermanfaat,sangat bermanfaat,manfaat,5,2025-08-31 08:20:30,426.11
Eri Ramadhan,sangat mantap,sangat mantap,mantap,5,2025-08-31 08:06:26,
Cahaya Syakila,keren min,keren min,keren min,5,2025-08-31 07:16:53,426.11
Yasmin Aldi,"apk aneh pas di unduh fto transparan nya tiba tiba layar nya hitam udh di coba brp kali hapus download gitu aja trs,sengaja ngasih bintang 5 biar ulasan nya di awal","apk aneh pas di unduh fto transparan nya tiba tiba layar nya hitam udh di coba brp kali hapus download gitu aja trs,sengaja ngasih bintang 5 biar ulasan nya di awal",apk aneh pas unduh fto transparan nya layar nya hitam udh coba brp kali hapus download gitu aja trssengaja ngasih bintang biar ulas nya,5,2025-08-31 00:32:44,
Carmilie Le jough,"saya sejak dahulu user strava, tidak ada kendala apapun selama menggunakan strava ini, tapi ketika update aplikasi di tahun 2025, strava makin tidak akurat, tidak pernah bisa menyimpan record, selalu loading, padahal sinyal aman, wifi aman, penyimpanan hp saya aman, saya sudah mengalami kendala ini sebanyak 4 kali dalam masalah yg sama, tidak bisa menyimpan record. mohon maaf sekali developer, saya harus berpindah ke aplikasi lain, terima kasih sudah menemani saya selama ini, strava.","saya sejak dahulu user strava, tidak ada kendala apapun selama menggunakan strava ini, tapi ketika update aplikasi di tahun 2025, strava makin tidak akurat, tidak pernah bisa menyimpan record, selalu loading, padahal sinyal aman, wifi aman, penyimpanan hp saya aman, saya sudah mengalami kendala ini sebanyak 4 kali dalam masalah yg sama, tidak bisa menyimpan record. mohon maaf sekali developer, saya harus berpindah ke aplikasi lain, terima kasih sudah menemani saya selama ini, strava.",user strava kendala apa strava update aplikasi strava akurat simpan record loading sinyal aman wifi aman simpan hp aman alami kendala kali yg simpan record mohon maaf developer pindah aplikasi terima kasih tani strava,2,2025-08-30 23:30:49,
Octa Js26,"tolong strava balikin saldo dana saya yang otomatis berlangganan ke apk strava saya gatau tiba"" saldo saya kesedot sendiri","tolong strava balikin saldo dana saya yang otomatis berlangganan ke apk strava saya gatau tiba"" saldo saya kesedot sendiri",tolong strava balikin saldo dana otomatis langgan apk strava gatau saldo sedot,3,2025-08-30 15:54:13,418.11
ghiyats gaming,padahal saya udh nyalakan strava pas saya udh selesai lari di suruh ulg lgi mohon di perbaiki lgi mslahnya ini soalnya menggangu ketika kita sudah selesai Olga,padahal saya udh nyalakan strava pas saya udh selesai lari di suruh ulg lgi mohon di perbaiki lgi mslahnya ini soalnya menggangu ketika kita sudah selesai olga,udh nyala strava pas udh selesai lari suruh ulg lgi mohon baik lgi mslahnya menggangu selesai olga,1,2025-08-30 10:44:50,426.11
Fathur Ramdhani,nice,nice,nice,5,2025-08-30 10:33:05,426.11
Bambang Bangsawan,Kenapa APK ini langsung Main Tarik Uang melalui apk Play Store..padahal sebenarnya hanya Coba Gratis..tp ini main Tarik uang 609.000..sudah ikuti saran Coba mengembalikan Dana..tp tetap tdk di proses dengan alasan tidak memenuhi syarat..mohon kiranya Apk ini bisa mengembalikan Dana Yg d ambil Krn itu keperluan Berobat 🙏🙏🙏,kenapa apk ini langsung main tarik uang melalui apk play store..padahal sebenarnya hanya coba gratis..tp ini main tarik uang 609.000..sudah ikuti saran coba mengembalikan dana..tp tetap tdk di proses dengan alasan tidak memenuhi syarat..mohon kiranya apk ini bisa mengembalikan dana yg d ambil krn itu keperluan berobat 🙏🙏🙏,apk langsung main tarik uang apk play storepadahal coba gratistp main tarik uang ikut saran coba kembali danatp tdk proses alas penuh syaratmohon apk kembali dana yg d ambil krn perlu obat,1,2025-08-30 09:17:56,426.11
Lunaresty Ayundah,apk nya sangat jelek uang saya di tarik tiba2 tanpa persetujuan saya mana saldo saya di dana 600 di tariknya dia semuanya apk nya gk bagus gaessss gk bertanggung jawab😒😒😒,apk nya sangat jelek uang saya di tarik tiba2 tanpa persetujuan saya mana saldo saya di dana 600 di tariknya dia semuanya apk nya gk bagus gaessss gk bertanggung jawab😒😒😒,apk nya jelek uang tarik tuju saldo dana tarik apk nya gk bagus gaessss gk tanggung,1,2025-08-30 09:12:34,425.11
Cartoni Baru,👍,👍,,5,2025-08-30 08:30:30,426.11
Dwi Indra Setiyanto,bagus,bagus,bagus,5,2025-08-30 07:52:22,426.11
Muhammad Gani,terbaik,terbaik,baik,5,2025-08-30 07:41:29,425.11
Ardi Prastowo,memudahkan dalam berolahraga,memudahkan dalam berolahraga,mudah olahraga,5,2025-08-30 07:32:21,426.11
Leonard Marvell,aplikasi bagus dan tampil dan memberi tau kerja keras kita 😊,aplikasi bagus dan tampil dan memberi tau kerja keras kita 😊,aplikasi bagus tampil tau kerja keras,5,2025-08-30 07:31:12,426.11
Dzikri zidan ahmad,opo,opo,opo,5,2025-08-30 07:22:24,426.11
R Y D,menemaniku,menemaniku,teman,5,2025-08-30 07:15:54,426.11
Slamet Hidayat,OK,ok,ok,5,2025-08-29 21:25:42,426.11
Rianto Derman Ganda,LENGKAP,lengkap,lengkap,5,2025-08-29 19:27:50,
muhammad zaini,map eror kocak,map eror kocak,map eror kocak,1,2025-08-29 17:37:38,
Wafii,Sebenarnya bagus tapi kok map tracking nya kok agak patah patah ya belok belok rute nya jadi nggak lumayan akurat,sebenarnya bagus tapi kok map tracking nya kok agak patah patah ya belok belok rute nya jadi nggak lumayan akurat,bagus map tracking nya patah patah ya belok belok rute nya nggak lumayan akurat,3,2025-08-29 17:04:45,426.11
